href,text,time
./202409/t20240930_11501401.shtml,外交部亚洲司司长刘劲松会见日本驻华使馆临时代办横地晃,2024-09-30
./202409/t20240929_11500825.shtml,外交部礼宾司司长洪磊分别接受芬兰、黑山新任驻华大使递交国书副本,2024-09-29
./202409/t20240927_11499079.shtml,中国政府欧洲事务特别代表吴红波出席马耳他独立60周年招待会,2024-09-27
./202409/t20240926_11497963.shtml,外交部亚洲司司长刘劲松会见印度驻华大使罗国栋,2024-09-26
./202409/t20240925_11496396.shtml,中国政府中东问题特使翟隽访问伊朗,2024-09-25
./202409/t20240923_11494984.shtml,中国政府欧洲事务特别代表吴红波出席第三届中外地理标志产品博览会,2024-09-23
./202409/t20240923_11494887.shtml,中英举行军控与防扩散磋商,2024-09-23
./202409/t20240920_11493943.shtml,外交部亚洲司司长刘劲松会见缅甸驻华大使丁貌瑞,2024-09-20
./202409/t20240920_11493916.shtml,中国政府拉美事务特别代表邱小琪出席古巴驻华使馆庆祝中古建交64周年暨双边教育合作60周年招待会,2024-09-20
./202409/t20240920_11493816.shtml,中国—中东欧国家合作秘书处举办中东欧国家驻华使馆通报会,2024-09-20
./202409/t20240920_11493582.shtml,外交部亚洲司司长刘劲松会见瑞典外交部亚太拉美司司长沃尔文,2024-09-20
./202409/t20240919_11493171.shtml,外交部国际司负责人就联合国未来峰会和第79届联合国大会一般性辩论情况向媒体吹风,2024-09-19
./202409/t20240919_11492895.shtml,外交部军控司司长孙晓波与禁止化学武器组织总干事阿里亚斯举行磋商,2024-09-19
./202409/t20240916_11491698.shtml,外交部亚洲司司长刘劲松会见马来西亚外交部秘书长阿姆兰,2024-09-16
./202409/t20240914_11490905.shtml,中国政府拉美事务特别代表邱小琪出席中美洲独立203周年招待会,2024-09-14
./202409/t20240914_11490859.shtml,中国同巴基斯坦举行军控与防扩散磋商,2024-09-14
./202409/t20240913_11490362.shtml,中国政府拉美事务特别代表邱小琪出席智利独立214周年招待会,2024-09-13
./202409/t20240913_11490306.shtml,落实《南海各方行为宣言》第22次高官会在西安举行,2024-09-13
./202409/t20240913_11490288.shtml,中国政府拉美事务特别代表邱小琪出席墨西哥独立214周年招待会,2024-09-13
./202409/t20240911_11488980.shtml,外交部礼宾司司长洪磊接受瑙鲁新任驻华大使递交国书副本,2024-09-11
./202409/t20240910_11488378.shtml,中国政府中东问题特使翟隽同奥地利总理全球事务特别代表劳恩斯基通电话,2024-09-10
./202409/t20240906_11486772.shtml,中国政府中东问题特使翟隽会见法国参议院外交、防务和军事力量委员会副主席莫雷,2024-09-06
./202409/t20240906_11486476.shtml,中国政府拉美事务特别代表邱小琪出席庆祝中巴建交50周年专场音乐会,2024-09-06
./202409/t20240905_11485676.shtml,外交部军控司司长孙晓波与联合国副秘书长、裁军事务高级代表中满泉举行磋商,2024-09-05
./202409/t20240902_11483513.shtml,中非合作论坛第十七届高官会在北京举行,2024-09-02
./202409/t20240902_11483512.shtml,中国政府欧洲事务特别代表吴红波会见爱沙尼亚议会第一副议长、爱中友好小组主席基维迈吉一行,2024-09-02
./202408/t20240830_11482131.shtml,外交部礼宾司司长洪磊接受挪威新任驻华大使戴伟恩递交国书副本,2024-08-30
./202408/t20240829_11481294.shtml,外交部亚洲司司长刘劲松会见印度外交部东亚司联秘戴国澜,2024-08-29
./202408/t20240829_11481293.shtml,中印举行边境事务磋商和协调工作机制第31次会议,2024-08-29
./202408/t20240829_11481159.shtml,外交部亚洲司司长刘劲松会见蒙古新任驻华大使恩赫包勒德,2024-08-29
./202408/t20240829_11480977.shtml,中国政府太平洋岛国事务特使钱波出席第53届太平洋岛国论坛对话会,2024-08-29
./202408/t20240828_11480651.shtml,外交部亚洲司司长刘劲松会见巴基斯坦、尼泊尔驻华大使,2024-08-28
./202408/t20240827_11480091.shtml,外交部礼宾司司长洪磊接受蒙古新任驻华大使恩赫包勒德递交国书副本,2024-08-27
./202408/t20240827_11479978.shtml,中国政府欧亚事务特别代表李辉就乌克兰危机第四轮穿梭外交举行吹风会,2024-08-27
./202408/t20240826_11479669.shtml,外交部亚洲司司长刘劲松同日方举行磋商,2024-08-27
./202408/t20240825_11479246.shtml,外交部官员谈美国总统国家安全事务助理沙利文访华,2024-08-25
./202408/t20240823_11478729.shtml,外交部礼宾司司长洪磊分别接受爱尔兰、津巴布韦新任驻华大使递交国书副本,2024-08-23
./202408/t20240822_11478136.shtml,中美举行2024年外交部国际法磋商,2024-08-22
./202408/t20240822_11478140.shtml,中国不丹边界问题专家组第十四次会议联合新闻稿,2024-08-22
./202408/t20240819_11475945.shtml,中国政府非洲事务特别代表刘豫锡出席加蓬国庆招待会,2024-08-19
./202408/t20240816_11474956.shtml,外交部礼宾司司长洪磊分别接受拉脱维亚、丹麦新任驻华大使递交国书副本,2024-08-16
./202408/t20240816_11474933.shtml,外交部美大司司长杨涛会见美国青年政治家代表团,2024-08-16
./202408/t20240814_11472424.shtml,中国政府欧亚事务特别代表李辉同教皇乌克兰问题特使通电话,2024-08-14
./202408/t20240811_11469337.shtml,中国同巴基斯坦举行联合国及安理会事务磋商,2024-08-11
./202408/t20240809_11468628.shtml,中俄举行首届和平利用外空事务磋商,2024-08-09
./202408/t20240808_11467953.shtml,外交部条法司司长马新民同俄罗斯外交部条法局局长举行国际法磋商,2024-08-08
./202408/t20240807_11467632.shtml,中国政府欧亚事务特别代表李辉接受南非《星报》（英文）和印尼《罗盘报》（印尼语）书面采访,2024-08-07
./202408/t20240806_11467044.shtml,中国政府欧亚事务特别代表李辉访问印度尼西亚,2024-08-06
./202408/t20240805_11466471.shtml,中国政府中东问题特使翟隽同瑞士中东事务特使布鲁尔哈特通电话,2024-08-05
./202408/t20240805_11466466.shtml,中国政府欧亚事务特别代表李辉接受巴西《圣保罗页报》专访,2024-08-05
./202408/t20240803_11466016.shtml,中国政府欧亚事务特别代表李辉访问南非,2024-08-03
./202408/t20240801_11465024.shtml,中国政府欧亚事务特别代表李辉访问巴西,2024-08-01
./202408/t20240801_11464866.shtml,中国政府非洲事务特别代表刘豫锡访问毛里求斯,2024-08-01
./202408/t20240801_11464130.shtml,中印举行边境事务磋商和协调工作机制第30次会议,2024-08-01
./202407/t20240731_11463569.shtml,中国政府中东问题特使翟隽会见伊朗驻华大使巴赫蒂亚尔,2024-07-31
./202407/t20240731_11463479.shtml,外交部亚洲司负责人就日美“2+2”会议等消极动向向日方提出严正交涉,2024-07-31
./202407/t20240729_11462099.shtml,中国政府非洲事务特别代表刘豫锡访问圣多美和普林西比,2024-07-29
./202407/t20240727_11461654.shtml,外交部大使吕健参加苏丹冲突调停方协调会,2024-07-27
./202407/t20240725_11460436.shtml,外交部涉外安全事务司司长白天出席金砖国家反恐工作组第九次会议,2024-07-25
./202407/t20240724_11459659.shtml,中国政府非洲事务特别代表刘豫锡访问刚果（布）,2024-07-24
./202407/t20240723_11458848.shtml,中国政府中东问题特使翟隽同欧盟中东和平进程特别代表库普曼斯通电话,2024-07-23
./202407/t20240722_11458030.shtml,中国关于无核安保问题的工作文件,2024-07-22
./202407/t20240722_11457979.shtml,中国关于互不首先使用核武器倡议的工作文件,2024-07-22
./202407/t20240722_11457904.shtml,外交部非洲之角事务特使薛冰出席庆祝卢旺达解放30周年招待会,2024-07-22
./202407/t20240715_11454215.shtml,外交部组织驻华使节赴内蒙古参访,2024-07-15
./202407/t20240711_11452444.shtml,全国政协外事委员会主任何平出席《中朝友好合作互助条约》签订63周年纪念招待会,2024-07-11
./202407/t20240710_11451608.shtml,外交部组织驻华使节“步入中国石油”,2024-07-10
./202407/t20240710_11451346.shtml,中国政府中东问题特使翟隽访问摩洛哥,2024-07-10
./202407/t20240708_11449962.shtml,外交部亚洲司司长刘劲松会见日本学者下斗米伸夫,2024-07-08
./202407/t20240708_11449935.shtml,外交部亚洲司司长刘劲松会见韩国学者文正仁,2024-07-08
./202407/t20240706_11449311.shtml,中国政府中东问题特使翟隽访问突尼斯,2024-07-06
./202407/t20240705_11449121.shtml,中国政府代表团团长、常驻日内瓦代表陈旭大使在人权理事会第56届会议核可中国国别人权审议报告时的总结发言,2024-07-05
./202407/t20240705_11449108.shtml,中国政府代表团团长、常驻日内瓦代表陈旭大使在人权理事会第56届会议核可中国国别人权审议报告时的介绍性发言,2024-07-05
./202407/t20240705_11448963.shtml,中国政府欧洲事务特别代表吴红波访问拉脱维亚,2024-07-05
./202407/t20240705_11448866.shtml,外交部中国—中东欧国家合作事务特别代表姜瑜访问保加利亚、斯洛伐克、黑山,2024-07-05
./202407/t20240704_11448255.shtml,外交部阿富汗事务特使岳晓勇赴土库曼斯坦磋商并出席第三次联合国阿富汗问题特使会议,2024-07-04
./202407/t20240704_11448213.shtml,中国政府中东问题特使翟隽访问阿尔及利亚,2024-07-04
./202407/t20240704_11448167.shtml,​外交部亚洲司司长刘劲松会见蒙古驻华大使巴德尔勒,2024-07-04
./202407/t20240704_11446998.shtml,中国政府欧洲事务特别代表吴红波访问爱沙尼亚,2024-07-04
./202407/t20240702_11446087.shtml,中国政府欧亚事务特别代表李辉出席白俄罗斯独立日招待会,2024-07-02
./202407/t20240702_11446011.shtml,中国政府非洲事务特别代表刘豫锡出席布隆迪国庆招待会,2024-07-02
./202407/t20240702_11445893.shtml,中国政府欧洲事务特别代表吴红波同阿尔巴尼亚总理和外长分别会见,2024-07-02
./202407/t20240701_11445270.shtml,中国政府欧洲事务特别代表吴红波访问克罗地亚并出席杜布罗夫尼克论坛,2024-07-01
./202407/t20240701_11445262.shtml,中国政府拉美事务特别代表邱小琪访问委内瑞拉并出席中委建交50周年庆祝活动,2024-07-01
./202407/t20240701_11445261.shtml,外交部亚洲司司长刘劲松会见印尼客人,2024-07-01
./202407/t20240701_11444887.shtml,中国政府欧亚事务特别代表李辉会见瑞士外交部国际安全司司长吕兴格,2024-07-01
./202406/t20240625_11441246.shtml,外交部礼宾司司长洪磊接受马里新任驻华大使达乌递交国书副本,2024-06-25
./202406/t20240625_11441110.shtml,“执行联合国安理会第1540号决议亚太地区国家联络点培训班”开幕,2024-06-25
./202406/t20240624_11440625.shtml,外交部军控司司长孙晓波会见联合国安理会防扩散委员会主席德拉加斯卡,2024-06-24
./202406/t20240624_11440352.shtml,外交部组织驻华使节观看京剧演出,2024-06-24
./202406/t20240621_11439747.shtml,外交部亚洲司司长刘劲松会见泰国外交部东亚司司长比亚帕,2024-06-21
./202406/t20240621_11439503.shtml,中国政府中东问题特使翟隽出席以色列国庆音乐会,2024-06-21
./202406/t20240620_11439107.shtml,中国政府非洲事务特别代表刘豫锡会见利比里亚农业部长努塔,2024-06-20
./202406/t20240618_11437903.shtml,外交部阿富汗事务特使岳晓勇出席中俄伊巴四国阿富汗问题特使会议和奥斯陆论坛,2024-06-18
./202406/t20240617_11437327.shtml,外交部亚洲司司长刘劲松同日方举行磋商,2024-06-17
./202406/t20240614_11436394.shtml,外交部中阿合作论坛事务大使李琛出席加沙人道援助国际会议,2024-06-14
./202406/t20240614_11436025.shtml,中国政府欧洲事务特别代表吴红波出席英国驻华使馆国王生日招待会,2024-06-14
./202406/t20240612_11425102.shtml,中国和巴西举行军控与防扩散磋商,2024-06-12
./202406/t20240611_11424835.shtml,外交部赴贵州举办“驻华使节地方行”考察大数据和基础设施建设产业,2024-06-11
./202406/t20240611_11424690.shtml,外交部组织驻华使节代表团赴山东参访,2024-06-11
./202406/t20240607_11414834.shtml,中德举行军控与防扩散磋商,2024-06-07
./202406/t20240606_11404519.shtml,中国政府太平洋岛国事务特使钱波访问所罗门群岛,2024-06-06
./202406/t20240606_11377617.shtml,中国政府欧亚事务特别代表李辉应约会见乌克兰第一副外长瑟比加,2024-06-06
./202406/t20240605_11377243.shtml,外交部国际司司长申博会见丹麦外交部国务秘书,2024-06-05
./202406/t20240605_11377210.shtml,中国政府非洲事务特别代表刘豫锡访问卢旺达,2024-06-05
./202406/t20240603_11375914.shtml,中国政府非洲事务特别代表刘豫锡访问布隆迪,2024-06-03
./202406/t20240601_11368799.shtml,外交部邀请中外儿童欢度“六一”,2024-06-01
./202405/t20240531_11368517.shtml,中国政府欧洲事务特别代表吴红波出席意大利国庆招待会,2024-05-31
./202405/t20240531_11366651.shtml,中国政府非洲事务特别代表刘豫锡访问刚果（金）,2024-05-31
./202405/t20240530_11366265.shtml,中欧举行军控与防扩散磋商,2024-05-30
./202405/t20240530_11349850.shtml,​外交部礼宾司司长洪磊接受马尔代夫新任驻华大使法泽尔递交国书副本,2024-05-30
./202405/t20240529_11313466.shtml,中国政府欧亚事务特别代表李辉出席阿塞拜疆国庆日招待会,2024-05-29
./202405/t20240528_11313264.shtml,中国政府中东问题特使翟隽会见也门外长赞达尼,2024-05-28
./202405/t20240528_11312825.shtml,中美举行第二轮海洋事务磋商,2024-05-28
./202405/t20240523_11310725.shtml,外交部条法司司长马新民应约会见国际红会东亚地区代表处负责人,2024-05-23
./202405/t20240523_11310527.shtml,中国政府中东问题特使翟隽应约会见意大利驻华大使安博思,2024-05-23
./202405/t20240522_11309827.shtml,外交部礼宾司司长洪磊接受斯里兰卡新任驻华大使马金达递交国书副本,2024-05-22
./202405/t20240522_11309776.shtml,外交部亚洲司司长刘劲松分别会见日本、韩国驻华使馆公使,2024-05-22
./202405/t20240521_11308967.shtml,中国政府非洲事务特别代表刘豫锡出席喀麦隆国庆招待会,2024-05-21
./202405/t20240517_11306527.shtml,外交部国际司司长申博出席“捍卫联合国宪章之友小组”会议并同有关国家举行联合国事务磋商,2024-05-17
./202405/t20240517_11306321.shtml,外交部欧亚司司长刘彬向中外媒体介绍俄罗斯总统普京对华进行国事访问情况,2024-05-17
./202405/t20240517_11306086.shtml,外交部大使吕健向巴林外交大臣转交习近平主席贺信,2024-05-17
./202405/t20240516_11305619.shtml,中国政府中东问题特使翟隽应约同挪威中东和平进程特别代表哈拉德斯塔德通电话,2024-05-16
./202405/t20240516_11305521.shtml,中国和乌兹别克斯坦阿富汗事务特使举行会谈,2024-05-16
./202405/t20240514_11304480.shtml,外交部拉美司司长蔡伟会见土耳其驻华大使穆萨,2024-05-14
./202405/t20240511_11303256.shtml,中国政府朝鲜半岛事务特别代表刘晓明出席第32届东北亚合作对话会,2024-05-11
./202405/t20240510_11302625.shtml,中国政府欧亚事务特别代表李辉就政治解决乌克兰危机开展第三轮穿梭外交,2024-05-10
./202404/t20240430_11291695.shtml,中国政府中东问题特使翟隽集体会见阿拉伯国家驻华使节和阿盟驻华代表处主任,2024-04-30
./202404/t20240430_11291534.shtml,外交部组织驻华使节“步入中车集团”,2024-04-30
./202404/t20240430_11291422.shtml,​外交部条法司司长马新民出席中国国际法学会2024年学术年会并作主旨报告,2024-04-30
./202404/t20240428_11290646.shtml,外交部亚洲司司长刘劲松会见缅甸驻华大使丁貌瑞,2024-04-28
./202404/t20240428_11290313.shtml,中国政府太平洋岛国事务特使钱波会见瓦努阿图领袖党主席纳帕特一行,2024-04-28
./202404/t20240426_11289897.shtml,中国政府中东问题特使翟隽会见伊朗副外长巴盖里,2024-04-26
./202404/t20240426_11289893.shtml,中国政府中东问题特使翟隽会见联合国近东巴勒斯坦难民救济和工程处主任专员拉扎里尼,2024-04-26
./202404/t20240426_11289890.shtml,中国政府中东问题特使翟隽出席金砖国家中东事务副外长/特使磋商,2024-04-26
./202404/t20240426_11289748.shtml,外交部亚洲司司长刘劲松会见新加坡驻华大使陈海泉,2024-04-26
./202404/t20240426_11289486.shtml,中国政府欧洲事务特别代表吴红波出席荷兰“国王日”招待会,2024-04-26
./202404/t20240425_11288819.shtml,中国政府中东问题特使翟隽同俄罗斯副外长博格丹诺夫举行会谈,2024-04-25
./202404/t20240424_11288480.shtml,外交部翻译司负责人出席翻译与国际传播高峰论坛,2024-04-24
./202404/t20240424_11288382.shtml,外交部非洲之角事务特使薛冰出席非洲反恐高级别会议,2024-04-24
./202404/t20240424_11288198.shtml,中国与非盟举行第四次人权磋商,2024-04-24
./202404/t20240423_11286742.shtml,中国与安哥拉举行首次人权磋商,2024-04-23
./202404/t20240423_11286738.shtml,中国与埃塞俄比亚举行首次人权磋商,2024-04-23
./202404/t20240419_11285057.shtml,中国政府中东问题特使翟隽会见美国驻华大使伯恩斯,2024-04-19
./202404/t20240418_11284191.shtml,中国政府中东问题特使翟隽会见法国驻华大使白玉堂,2024-04-18
./202404/t20240418_11283901.shtml,中国政府欧亚事务特别代表李辉会见乌克兰驻华大使里亚比金,2024-04-18
./202404/t20240417_11283465.shtml,外交部条法司司长马新民会见香港律师会访京团,2024-04-17
./202404/t20240417_11283142.shtml,外交部礼宾司司长洪磊接受塞浦路斯新任驻华大使拉尼都递交国书副本,2024-04-17
./202404/t20240417_11282857.shtml,外交部安全司司长白天同俄罗斯外交部新挑战与新威胁局负责人举行反恐安全磋商,2024-04-17
./202404/t20240415_11281811.shtml,中国政府中东问题特使翟隽会见以色列驻华大使潘绮瑞,2024-04-15
./202404/t20240412_11281016.shtml,外交部条法司司长马新民同英国外交部法律顾问举行海洋法和极地事务对话,2024-04-12
./202404/t20240412_11280934.shtml,外交部亚洲司负责人向菲方提出严正交涉,2024-04-12
./202404/t20240412_11280716.shtml,外交部亚洲司负责人向日方提出严正交涉,2024-04-12
./202404/t20240411_11280292.shtml,外交部条法司司长马新民同英国外交部法律顾问举行国际法磋商,2024-04-11
./202404/t20240411_11280269.shtml,外交部组织驻华使节代表团赴四川参访,2024-04-11
./202404/t20240407_11277542.shtml,中国政府太平洋岛国事务特使钱波访问所罗门群岛,2024-04-07
./202404/t20240403_11275953.shtml,外交部礼宾司副司长李津津接受泰国新任驻华大使韩灿才递交国书副本,2024-04-03
./202404/t20240402_11275123.shtml,中国同老挝举行外交部国际司长工作交流,2024-04-02
./202404/t20240402_11274962.shtml,外交部亚洲司司长刘劲松会见日本驻华使馆新任首席公使横地晃,2024-04-02
./202404/t20240402_11274943.shtml,外交部条法司司长马新民与法国总统特使达沃尔举行海洋法和极地事务对话,2024-04-02
./202404/t20240402_11274820.shtml,中法举行首次海洋事务磋商,2024-04-02
./202404/t20240401_11274072.shtml,中国政府太平洋岛国事务特使钱波会见萨摩亚总理兼外长菲娅梅,2024-04-01
./202404/t20240401_11274068.shtml,中国政府中东问题特使翟隽会见欧盟中东和平进程特别代表库普曼斯,2024-04-01
./202403/t20240328_11272708.shtml,外交部国际司司长申博同联合国政策事务副秘书长莱德举行会谈,2024-03-28
./202403/t20240328_11272548.shtml,外交部国际司司长申博接受国际移民组织新任驻华代表李文递交委任书,2024-03-28
./202403/t20240328_11272190.shtml,中印举行边境事务磋商和协调工作机制第29次会议,2024-03-28
./202403/t20240326_11271227.shtml,外交部条法司司长马新民同法国外交部法律司司长举行国际法磋商,2024-03-26
./202403/t20240326_11271206.shtml,条法司司长马新民应约会见瑙鲁基础设施发展、环境治理和农业、体育部部长,2024-03-26
./202403/t20240326_11271167.shtml,外交部亚洲司司长刘劲松会见缅甸驻华大使丁貌瑞,2024-03-26
./202403/t20240322_11266021.shtml,中国政府欧亚事务特别代表李辉就乌克兰危机第二轮穿梭外交举行吹风会,2024-03-22
./202403/t20240321_11264998.shtml,外交部领事司司长吴玺出席伊拉克驻广州总领事馆开馆仪式,2024-03-21
./202403/t20240321_11264404.shtml,中国政府欧亚事务特别代表李辉出席土库曼斯坦纳乌鲁斯节暨“马赫图姆库里智慧宝库年”招待会,2024-03-21
./202403/t20240321_11264269.shtml,外交部亚洲司司长刘劲松同日方举行磋商,2024-03-21
./202403/t20240321_11264180.shtml,中国政府朝鲜半岛事务特别代表刘晓明出席第10届东北亚安全问题“采尔马特圆桌会”并访问俄罗斯、欧盟总部,2024-03-21
./202403/t20240320_11263461.shtml,中国政府欧亚事务特别代表李辉率中方观察员团赴俄罗斯观察俄总统选举,2024-03-20
./202403/t20240320_11263063.shtml,中国与吉尔吉斯斯坦举行第七轮领事磋商,2024-03-20
./202403/t20240320_11263005.shtml,外交部亚洲司司长刘劲松约见菲律宾驻华大使吉米,2024-03-20
./202403/t20240319_11262546.shtml,中法举行军控与防扩散磋商,2024-03-19
./202403/t20240319_11262447.shtml,外交部大使王克俭访问卡塔尔,2024-03-19
./202403/t20240319_11262449.shtml,外交部大使王克俭会见哈马斯政治局主席哈尼亚,2024-03-19
./202403/t20240318_11262096.shtml,中国政府欧洲事务特别代表吴红波出席爱尔兰国庆招待会,2024-03-18
./202403/t20240318_11262029.shtml,中国政府非洲事务特别代表刘豫锡出席安哥拉—中国商务高峰论坛,2024-03-18
./202403/t20240318_11261737.shtml,外交部非洲之角事务特使薛冰集体会见非洲之角国家驻华使节,2024-03-18
./202403/t20240315_11261101.shtml,​外交部大使王克俭访问以色列,2024-03-15
./202403/t20240314_11260767.shtml,外交部礼宾司司长洪磊接受阿根廷新任驻华大使马致远递交国书副本,2024-03-14
./202403/t20240314_11260526.shtml,外交部大使王克俭访问巴勒斯坦,2024-03-14
./202403/t20240314_11260414.shtml,外交部亚洲司司长刘劲松应约会见美国务院前助卿帮办谢淑丽,2024-03-14
./202403/t20240313_11259936.shtml,中国政府欧亚事务特别代表李辉同法国外交部主管官员举行会谈,2024-03-13
./202403/t20240312_11259686.shtml,外交部国际司司长申博同马耳他外交部总司长举行联合国安理会事务磋商,2024-03-12
./202403/t20240312_11258657.shtml,外交部大使王克俭会见阿盟助理秘书长哈立德,2024-03-12
./202403/t20240312_11258278.shtml,外交部大使王克俭访问埃及,2024-03-12
./202403/t20240311_11257543.shtml,外交部亚洲司司长刘劲松会见日本青年学者访华团,2024-03-11
./202403/t20240310_11256942.shtml,中国政府欧亚事务特别代表李辉同德国外交部国务秘书举行会谈,2024-03-10
./202403/t20240308_11256300.shtml,中国政府拉美事务特别代表邱小琪访问古巴,2024-03-08
./202403/t20240308_11255995.shtml,中国政府欧亚事务特别代表李辉访问乌克兰,2024-03-08
./202403/t20240308_11255979.shtml,中国政府欧亚事务特别代表李辉同波兰外交部国务秘书举行会谈,2024-03-08
./202403/t20240306_11254485.shtml,中国政府拉美事务特别代表邱小琪访问巴拿马,2024-03-06
./202403/t20240306_11254325.shtml,中国政府欧亚事务特别代表李辉同瑞士外交部国际安全司司长吕兴格举行会谈,2024-03-06
./202403/t20240306_11254274.shtml,中国政府欧亚事务特别代表李辉同欧洲理事会主席首席外事顾问莫杜举行会谈,2024-03-06
./202403/t20240305_11254060.shtml,中沙举行第七轮领事磋商,2024-03-05
./202403/t20240305_11253994.shtml,中国政府欧亚事务特别代表李辉同欧盟对外行动署官员举行会谈,2024-03-05
