品牌,车名,图片链接,月销量,价格,生产商,排名,车型,能源类型,发售日期,保修年限
特斯拉,Model Y,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/60b8a92b0b304e60a4d0e8bc2f4f2272~tplv-resize:640:0.png,47917,"[24.99, 35.49]",特斯拉中国,1,中型SUV,纯电动,2024.02,4年或8万公里
比亚迪,秦PLUS DM-i,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b16feb96960c4b178686faea93e71f3c~tplv-resize:640:0.png,31016,"[7.98, 12.58]",比亚迪,2,紧凑型车,插电式混合动力,2024.02,6年或15万公里
日产,轩逸,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f5483079e6094fb898c14f3b3d6c1493~tplv-resize:640:0.png,29674,"[6.98, 14.49]",东风日产,3,紧凑型车,汽油,2024.01,3年或10万公里
比亚迪,海鸥,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/af600c6bd2844b1fa774fd19a23466da~tplv-resize:640:0.png,27866,"[6.98, 8.58]",比亚迪,4,小型车,纯电动,2024.03,6年或15万公里
比亚迪,宋Pro DM-i,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/91291cb770c44932a3f6c14feedc82b3~tplv-resize:640:0.png,27446,"[10.98, 13.98]",比亚迪,5,紧凑型SUV,插电式混合动力,2024.03,6年或15万公里
比亚迪,宋PLUS DM-i,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f9d266bdf7d44b418eee09141be33ec0~tplv-resize:640:0.png,23910,"[12.98, 16.98]",比亚迪,6,紧凑型SUV,插电式混合动力,2024.02,6年或15万公里
比亚迪,元PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0a5a6f5f1e4e417f823a51d894fa7345~tplv-resize:640:0.png,21951,"[11.98, 14.78]",比亚迪,7,紧凑型SUV,纯电动,2024.03,6年或15万公里
大众,朗逸,https://p3-dcd.byteimg.com/img/motor-mis-img/28d677a5f94a5a24103f088dd94c8515~tplv-resize:640:0.png,21216,"[7.99, 11.69]",上汽大众,8,紧凑型车,汽油,2023.09,3年或10万公里
奔驰,奔驰C级,https://p3-dcd.byteimg.com/img/motor-mis-img/fd1771f592228d51d414ac0e5fa2469c~tplv-resize:640:0.png,20700,"[25.32, 30.06]",北京奔驰,9,中型车,48V轻混系统,2023.1,3年不限公里
大众,帕萨特,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c9ddb9ea9b9047029212858b14caba31~tplv-resize:640:0.png,19446,"[13.89, 20.23]",上汽大众,10,中型车,汽油,2023.1,3年或10万公里
比亚迪,秦PLUS EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f2c7ac4f763b45f99d6492adc2ee9f39~tplv-resize:640:0.png,19378,"[10.98, 15.98]",比亚迪,11,紧凑型车,纯电动,2024.02,6年或15万公里
奔驰,奔驰GLC,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ced6f5cfd808493d8380351b584516c2~tplv-resize:640:0.png,19000,"[34.78, 45.13]",北京奔驰,12,中型SUV,48V轻混系统,2024.03,3年不限公里
比亚迪,驱逐舰05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fdd396bacd4e433699c66a8dc73db8db~tplv-resize:640:0.png,18803,"[7.98, 12.88]",比亚迪,13,紧凑型车,插电式混合动力,2024.02,6年或15万公里
AITO,问界M7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ec234ea1f5a64f9b940ac268fa562ec4~tplv-resize:640:0.png,18512,"[24.98, 37.98]",赛力斯汽车,14,中大型SUV,增程式,2023.09,4年或10万公里
奥迪,奥迪A6L,https://p3-dcd.byteimg.com/img/motor-mis-img/f8250b5672059b6380b04eeeb0d7fe33~tplv-resize:640:0.png,16505,"[32.6, 53.9]",一汽-大众奥迪,15,中大型车,汽油,2023.1,3年或10万公里
大众,速腾,https://p9-dcd.byteimg.com/img/motor-mis-img/44c013067df2032cc03b6031eb68bf05~tplv-resize:640:0.png,16446,"[8.99, 13.49]",一汽-大众,16,紧凑型车,汽油,2022.06,3年或10万公里
五菱汽车,五菱宏光MINIEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/287e133f10e1402386d901c399885fbf~tplv-resize:640:0.png,16046,"[2.98, 9.99]",上汽通用五菱,17,微型车,纯电动,2023.11,3年或12万公里
丰田,卡罗拉,https://p9-dcd.byteimg.com/img/motor-mis-img/b2fb8f96191b30a2992fc05fb5af0a4c~tplv-resize:640:0.png,15551,"[8.68, 12.58]",一汽丰田,18,紧凑型车,汽油,2023.05,3年或10万公里
长安,长安CS75 PLUS,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/75ebab9e98d24c8b86fbae3f3554dc15~tplv-resize:640:0.png,15231,"[9.79, 12.49]",长安汽车,19,紧凑型SUV,汽油,2024.03,3年或10万公里
丰田,锋兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2e716928f981407b80c5e8772b8141a2~tplv-resize:640:0.png,14913,"[9.58, 15.28]",广汽丰田,20,紧凑型SUV,汽油,2023.03,3年或10万公里
埃安,AION S,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/eb774d9fa2a143efbfa6dfd38fbea82f~tplv-resize:640:0.png,14758,"[11.58, 16.69]",广汽埃安新能源,21,紧凑型车,纯电动,2023.1,4年或15万公里
大众,探岳,https://p3-dcd.byteimg.com/img/motor-mis-img/fa07dcebd6da68142bf78b8afc536956~tplv-resize:640:0.png,14699,"[15.59, 21.09]",一汽-大众,22,中型SUV,汽油,2023.1,3年或10万公里
特斯拉,Model 3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/25d4d4c6e46f4f078d75e768fabd7f0e~tplv-resize:640:0.png,14481,"[23.19, 33.59]",特斯拉中国,23,中型车,纯电动,2024.04,4年或8万公里
哈弗,哈弗H6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/84e95429ff42441dad2f45ebda3418ec~tplv-resize:640:0.png,13811,"[8.39, 12.98]",长城汽车,24,紧凑型SUV,汽油,2023.04,3年或10万公里
吉利汽车,星越L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e089916842c943ab8277e180dfb3240b~tplv-resize:640:0.png,13684,"[12.22, 17.02]",吉利汽车,25,紧凑型SUV,汽油,2024.01,4年或10万公里
吉利汽车,星瑞,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4fc66389c5644e648c5093b476ccd036~tplv-resize:640:0.png,13323,"[10.17, 13.57]",吉利汽车,26,紧凑型车,汽油,2024.03,4年或10万公里
埃安,AION Y,https://p9-dcd.byteimg.com/img/motor-mis-img/a4dcf08d322941eb5259fbcb35ead82e~tplv-resize:640:0.png,13007,"[9.68, 14.28]",广汽埃安新能源,27,紧凑型SUV,纯电动,2024.03,4年或15万公里
宝马,宝马3系,https://p9-dcd.byteimg.com/img/motor-mis-img/b4f69ed40e9e2f4f40a8874ce323e181~tplv-resize:640:0.png,12924,"[24.99, 33.59]",华晨宝马,28,中型车,汽油,2022.08,3年或10万公里
比亚迪,海豚,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b4491217f4a4471eb8fb8d73ef0a355e~tplv-resize:640:0.png,12672,"[9.98, 12.98]",比亚迪,29,小型车,纯电动,2024.02,6年或15万公里
丰田,RAV4荣放,https://p9-dcd.byteimg.com/img/motor-mis-img/d1ac1817fbc495d355e029a8b10c68f8~tplv-resize:640:0.png,12619,"[13.68, 22.38]",一汽丰田,30,紧凑型SUV,汽油,2023.04,3年或10万公里
别克,威朗,https://p9-dcd.byteimg.com/img/motor-mis-img/f935e27660580af362e268ff6a476c00~tplv-resize:640:0.png,12301,"[7.73, 10.59]",上汽通用别克,31,紧凑型车,汽油,2022.1,3年或10万公里
大众,迈腾,https://p3-dcd.byteimg.com/img/motor-mis-img/89991e9322440768e5f67b551d6e7ee5~tplv-resize:640:0.png,12252,"[14.39, 21.09]",一汽-大众,32,中型车,汽油,2022.1,3年或10万公里
长安,长安Lumin,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ce6c0eedd9c6421c94ef984285239d44~tplv-resize:640:0.png,12226,"[3.79, 5.39]",长安汽车,33,微型车,纯电动,2023.08,3年或12万公里
比亚迪,唐DM-i,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8c1608c9862b4aafb901b9e9e392ad03~tplv-resize:640:0.png,11914,"[17.98, 26.97]",比亚迪,34,中型SUV,插电式混合动力,2024.02,6年或15万公里
奥迪,奥迪Q5L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/67161a339e5c4639bdcfc59d4b67efc9~tplv-resize:640:0.png,11598,"[29.02, 35.7]",一汽-大众奥迪,35,中型SUV,汽油,2023.1,3年或10万公里
本田,本田CR-V,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/bc20bec323e9460e862ac2b30b0f9991~tplv-resize:640:0.png,11568,"[16.09, 23.29]",东风本田,36,紧凑型SUV,油电混合,2024.04,3年或10万公里
比亚迪,汉DM-i,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a965de726e8a43909ebfe83ae9325804~tplv-resize:640:0.png,11516,"[15.98, 25.98]",比亚迪,37,中大型车,插电式混合动力,2024.02,6年或15万公里
五菱汽车,五菱缤果,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c316a4720f1f48da80b558c02a32b01c~tplv-resize:640:0.png,11319,"[5.58, 8.38]",上汽通用五菱,38,小型车,纯电动,2023.03,3年或10万公里
比亚迪,宋PLUS EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fa73e1ea76ca4aa9aa291fd9d73dbf98~tplv-resize:640:0.png,11266,"[14.98, 18.98]",比亚迪,39,紧凑型SUV,纯电动,2024.02,6年或15万公里
丰田,卡罗拉锐放,https://p3-dcd.byteimg.com/img/motor-mis-img/58d617d55bda2d2a8aeb9b9d0e8ca823~tplv-resize:640:0.png,11204,"[9.98, 15.48]",一汽丰田,40,紧凑型SUV,汽油,2023.05,3年或10万公里
红旗,红旗H5,https://p3-dcd.byteimg.com/img/motor-mis-img/4e5a38bacf99a7c63567e63f3bde1216~tplv-resize:640:0.png,10886,"[13.48, 20.08]",一汽红旗,41,中型车,汽油,2023.08,4年或10万公里
大众,途观L,https://p9-dcd.byteimg.com/img/motor-mis-img/8201ed0a4daa11da0ecfc31209187bde~tplv-resize:640:0.png,10806,"[16.07, 21.18]",上汽大众,42,中型SUV,汽油,2024.03,3年或10万公里
理想汽车,理想L7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/d23987ab80044821a6b553acf3e58a03~tplv-resize:640:0.png,10768,"[30.18, 35.98]",理想汽车,43,中大型SUV,增程式,2024.03,5年或10万公里
奥迪,奥迪A4L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/db765ed4695e4d1e808f3344a2637ff8~tplv-resize:640:0.png,10599,"[22.52, 28.1]",一汽-大众奥迪,44,中型车,汽油,2023.1,3年或10万公里
现代,伊兰特,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9df2036fdb244307bed69e9e03cf2368~tplv-resize:640:0.png,10525,"[7.18, 12.18]",北京现代,45,紧凑型车,汽油,2023.08,3年或10万公里
宝马,宝马X3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6ef160326cdc43d6b8395d9b0ae6a31c~tplv-resize:640:0.png,10119,"[31.99, 39.9]",华晨宝马,46,中型SUV,汽油,2023.02,3年或10万公里
奇瑞,瑞虎8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/734a4fbac7cf461293613d4f1a478e5b~tplv-resize:640:0.png,9770,"[8.99, 16.29]",奇瑞汽车,47,中型SUV,汽油,2023.1,3年或10万公里
丰田,威兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/39f96820a5e244b8a11ce5fae05c2006~tplv-resize:640:0.png,9761,"[13.38, 22.48]",广汽丰田,48,紧凑型SUV,汽油,2023.03,3年或10万公里
长安,逸动,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c639d69a418e4532a4d6cb71fb4a1a54~tplv-resize:640:0.png,9744,"[4.89, 8.39]",长安汽车,49,紧凑型车,汽油,2024.03,3年或10万公里
奔驰,奔驰E级,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c02aa97643944bed96a20db674f0fcb6~tplv-resize:640:0.png,9690,"[38.9, 54.98]",北京奔驰,50,中大型车,48V轻混系统,2023.12,3年不限公里
腾势,腾势D9 DM-i,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/0fa1a154670f4bb9b330d0b931fa4024~tplv-resize:640:0.png,9635,"[33.98, 60.06]",腾势汽车,51,中大型MPV,插电式混合动力,2024.03,6年或15万公里
日产,逍客,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/74a5e843ff5340aea475757a258d43bb~tplv-resize:640:0.png,9324,"[9.88, 16.99]",东风日产,52,紧凑型SUV,汽油,2023.08,3年或10万公里
捷途,捷途旅行者,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8978837049a9472c97d5983a41127d24~tplv-resize:640:0.png,9219,"[13.99, 21.99]",奇瑞汽车,53,紧凑型SUV,汽油,2024.01,4年或10万公里
宝马,宝马X1,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c9c9c02010874036a2f03c203ca1238a~tplv-resize:640:0.png,8115,"[19.59, 24.99]",华晨宝马,61,紧凑型SUV,汽油,2023.04,3年或10万公里
捷途,捷途X70,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9f9edd2f1b8f4ff68538900708783c01~tplv-resize:640:0.png,8043,"[8.19, 16.49]",奇瑞汽车,62,中型SUV,汽油,2024.04,4年或10万公里
别克,微蓝6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/550b6dc2a2c44e06a3e9b666927fa56f~tplv-resize:640:0.png,8035,"[9.98, 10.28]",上汽通用别克,63,紧凑型车,纯电动,2023.1,3年或10万公里
长安,长安UNI-V,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/16e21ac894654caebd0997e976d3bebf~tplv-resize:640:0.png,7782,"[9.69, 12.99]",长安汽车,64,紧凑型车,汽油,2024.03,3年或10万公里
大众,宝来,https://p3-dcd.byteimg.com/img/motor-mis-img/dbd8f3ffb172ce6ef271849013b14763~tplv-resize:640:0.png,7732,"[7.4, 11.9]",一汽-大众,65,紧凑型车,汽油,2022.11,3年或10万公里
吉利汽车,帝豪,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e124af9a60a8444b9212fa9b2cbfa278~tplv-resize:640:0.png,7707,"[5.59, 12.08]",吉利汽车,66,紧凑型车,醇电混合,2024.04,4年或15万公里
本田,思域,https://p3-dcd.byteimg.com/img/motor-mis-img/af835d978de92b8342d900c8473c8d88~tplv-resize:640:0.png,7684,"[10.49, 15.99]",东风本田,67,紧凑型车,汽油,2022.12,3年或10万公里
吉利汽车,熊猫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/faf3420cf3fd4f949f777c2ad1d1d0cc~tplv-resize:640:0.png,7618,"[2.99, 5.19]",吉利汽车,68,微型车,纯电动,2024.03,3年或12万公里
极氪,ZEEKR 001,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/04cd0a329af2459aaa5bb466ac245805~tplv-resize:640:0.png,7503,"[26.9, 76.9]",极氪,69,中大型车,纯电动,2024.02,4年或10万公里
宝马,宝马X5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/bf84f7f297c74b4ab69467bef101e7e1~tplv-resize:640:0.png,7448,"[57.5, 76]",华晨宝马,70,中大型SUV,48V轻混系统,2023.08,3年或10万公里
哈弗,哈弗大狗,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/99d2cc4666d54e5487bbda4ac6efe2f2~tplv-resize:640:0.png,7424,"[10.79, 15.59]",长城汽车,71,紧凑型SUV,汽油,2023.07,3年或10万公里
别克,别克GL8,https://p9-dcd.byteimg.com/img/motor-mis-img/1b5d71c459535ea55476f5dd7a91be6c~tplv-resize:640:0.png,7409,"[22.19, 46.39]",上汽通用别克,72,中大型MPV,48V轻混系统,2023.02,3年或10万公里
丰田,雷凌,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4be933594d45455592d516c912d27b69~tplv-resize:640:0.png,7344,"[7.68, 11.18]",广汽丰田,73,紧凑型车,汽油,2024.03,3年或10万公里
奇瑞,艾瑞泽8,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/d8d9de3901d34378b2fd87287e07b7fa~tplv-resize:640:0.png,7192,"[8.99, 13.39]",奇瑞汽车,74,紧凑型车,汽油,2024.03,3年或10万公里
丰田,凯美瑞,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2b0405ab3ec543bf9bef91533b82899f~tplv-resize:640:0.png,6842,"[15.48, 18.98]",广汽丰田,75,中型车,汽油,2024.03,3年或10万公里
丰田,赛那,https://p9-dcd.byteimg.com/img/motor-mis-img/3d40895e3ab4e118a086187f7e78ebba~tplv-resize:640:0.png,6730,"[28.28, 39.58]",广汽丰田,76,中大型MPV,油电混合,2024.04,3年或10万公里
大众,途岳,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7af39d3a968446848f32b453d0211164~tplv-resize:640:0.png,6419,"[11.56, 17.36]",上汽大众,77,紧凑型SUV,汽油,2024.03,3年或10万公里
理想汽车,理想L8,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/df46af6b3ad1439f83d4448cfb729918~tplv-resize:640:0.png,6392,"[32.18, 37.98]",理想汽车,78,中大型SUV,增程式,2024.03,5年或10万公里
奥迪,奥迪A3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bed15598b2964894805e3c74db0e7e23~tplv-resize:640:0.png,6388,"[14.3, 17.6]",一汽-大众奥迪,79,紧凑型车,汽油,2023.1,3年或10万公里
凯迪拉克,凯迪拉克CT5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/293217d96dd84452b6267df0dd6df9cf~tplv-resize:640:0.png,6292,"[21.97, 28.17]",上汽通用凯迪拉克,80,中型车,汽油,2023.12,3年不限公里
本田,型格,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bc48ceffe1394c528b45bb3a5042f890~tplv-resize:640:0.png,6287,"[11.19, 15.69]",广汽本田,81,紧凑型车,汽油,2024.03,3年或10万公里
本田,皓影,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/9886d3b902964d73a5284eeee4f1cfa8~tplv-resize:640:0.png,6218,"[15.09, 23.89]",广汽本田,82,紧凑型SUV,油电混合,2024.01,3年或10万公里
大众,大众ID.3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/42a481517c384446ae0fe27e3f2c1248~tplv-resize:640:0.png,6200,"[12.59, 14.99]",上汽大众,83,紧凑型车,纯电动,2024.01,3年或10万公里
丰田,汉兰达,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f1126e1c10d7481a865e1864ae09118d~tplv-resize:640:0.png,6175,"[22.68, 30.68]",广汽丰田,84,中型SUV,油电混合,2023.06,3年或10万公里
日产,天籁,https://p3-dcd.byteimg.com/img/motor-mis-img/8e074b2ea146302687d68d1e51adfb3c~tplv-resize:640:0.png,6149,"[14.48, 20.48]",东风日产,85,中型车,汽油,2024.04,3年或10万公里
吉利汽车,缤越,https://p9-dcd.byteimg.com/img/motor-mis-img/d119bbcc22df849ce240cd08c329eabb~tplv-resize:640:0.png,6098,"[6.38, 8.98]",吉利汽车,86,小型SUV,汽油,2024.03,4年或10万公里
沃尔沃,沃尔沃XC60,https://p3-dcd.byteimg.com/img/motor-mis-img/058f6dd326221149f0f7d23aec62600c~tplv-resize:640:0.png,6079,"[28.95, 32.65]",沃尔沃亚太,87,中型SUV,48V轻混系统,2023.05,3年不限公里
广汽传祺,传祺M8,https://p9-dcd.byteimg.com/img/motor-mis-img/6e784e8e17abc04adea0d726fe51ff69~tplv-resize:640:0.png,6031,"[16.98, 33.28]",广汽乘用车,88,中大型MPV,汽油,2023.07,3年或10万公里
红旗,红旗E-QM5,https://p3-dcd.byteimg.com/img/motor-mis-img/3174065ca959cf593465c373c7722041~tplv-resize:640:0.png,5911,"[16.58, 23.98]",一汽红旗,89,中型车,纯电动,2024.04,3年或30万公里
别克,君威,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/65ca9a0988cf45e29d3c04aca829f355~tplv-resize:640:0.png,5855,"[12.48, 21.48]",上汽通用别克,90,中型车,汽油,2023.07,3年或10万公里
五菱汽车,五菱星光PHEV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/1abac11028e24418a06fdf357476c3dc~tplv-resize:640:0.png,5756,"[7.98, 10.28]",上汽通用五菱,91,紧凑型车,插电式混合动力,2024.04,6年或15万公里
深蓝汽车,深蓝S7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f51d4ff960ed499ea4b443967ee6b0fe~tplv-resize:640:0.png,5705,"[13.99, 20.79]",深蓝汽车,92,中型SUV,增程式,2024.02,3年或12万公里
丰田,丰田bZ3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/cbf3ea024efc4e49ad282ed1bdc84cc4~tplv-resize:640:0.png,5697,"[13.98, 16.98]",一汽丰田,93,中型车,纯电动,2024.01,3年或10万公里
捷达,捷达VS5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5c03f20ae4d540638d295c0636a0d4c5~tplv-resize:640:0.png,5670,"[7.69, 12.19]",一汽-大众捷达,94,紧凑型SUV,汽油,2024.04,3年或10万公里
长安启源,长安启源A05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/90024992da744ec1a944c8bca7fb6a3d~tplv-resize:640:0.png,5622,"[7.89, 10.99]",长安启源,95,紧凑型车,插电式混合动力,2024.04,3年或15万公里
坦克,坦克300,https://p3-dcd.byteimg.com/img/motor-mis-img/53d89e20ef5df0119912ecfc6db642ae~tplv-resize:640:0.png,5616,"[19.98, 33]",长城汽车,96,紧凑型SUV,汽油,2023.08,5年或15万公里
大众,凌渡,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/72aad906601447f59df191ebb8522c58~tplv-resize:640:0.png,5601,"[11.09, 15.79]",上汽大众,97,紧凑型车,汽油,2023.08,3年或10万公里
AITO,问界M9,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c6eb4687b1d1477c86826edc4d417e6c~tplv-resize:640:0.png,5446,"[46.98, 56.98]",赛力斯汽车,98,大型SUV,增程式,2023.12,4年或10万公里
大众,高尔夫,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4fc088b811b34649b7293e1446212e1f~tplv-resize:640:0.png,5356,"[11.48, 21.48]",一汽-大众,99,紧凑型车,汽油,2024.01,3年或10万公里
大众,途昂,https://p3-dcd.byteimg.com/img/motor-mis-img/10e227cb6150184e8a7177c3ede5ea06~tplv-resize:640:0.png,5353,"[20.8, 38.9]",上汽大众,100,中大型SUV,汽油,2023.09,3年或10万公里
领克,领克03,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/496f813bab0e479cb6484b656f93e1d8~tplv-resize:640:0.png,5336,"[12.18, 42.03]",领克,101,紧凑型车,油电混合,2022.09,4年或10万公里
领克,领克08 EM-P,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/17614683c5d74474b25696e6ba9f1619~tplv-resize:640:0.png,5322,"[17.98, 27.8]",领克,102,中型SUV,插电式混合动力,2024.04,5年或10万公里
广汽传祺,传祺GS3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a3e0987f48e44deb8709e776e4131cd7~tplv-resize:640:0.png,5271,"[6.98, 9.98]",广汽乘用车,103,小型SUV,汽油,2023.03,3年或10万公里
北京汽车,北京EU5,https://p9-dcd.byteimg.com/img/motor-mis-img/fac9641308c9c3c9b23765bdcbdd6697~tplv-resize:640:0.png,5221,"[10.99, 15.19]",北京汽车,104,紧凑型车,纯电动,2022.09,3年或12万公里
比亚迪,宋L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2e28737a95cd4a9aba1b33c6bee37d69~tplv-resize:640:0.png,5204,"[18.98, 24.98]",比亚迪,105,中型SUV,纯电动,2023.12,6年或15万公里
零跑汽车,零跑C11,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/cd791727c8674dda9ab1d0e9eb7947b5~tplv-resize:640:0.png,5135,"[12.78, 20.58]",零跑汽车,106,中型SUV,增程式,2024.03,4年或12万公里
长安欧尚,长安欧尚X5 PLUS,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a4616746e0c748508ba07e1c3909e58f~tplv-resize:640:0.png,5072,"[7.19, 9.69]",长安汽车,107,紧凑型SUV,汽油,2023.04,3年或10万公里
福特,蒙迪欧,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/3ad464028fb74a7785bc2a6c606a6d3a~tplv-resize:640:0.png,4908,"[13.78, 20.78]",长安福特,108,中型车,汽油,2023.07,3年或10万公里
长安,长安CS55 PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8727a564bae045058a6c89a8395c2612~tplv-resize:640:0.png,4795,"[7.79, 11.09]",长安汽车,109,紧凑型SUV,汽油,2023.09,3年或10万公里
