品牌,车名,图片链接,月销量,价格,生产商,排名,车型,能源类型,发售日期,保修年限
丰田,亚洲龙,https://p3-dcd.byteimg.com/img/motor-mis-img/5130f932ae52503625175eb6e79aaa5a~tplv-resize:640:0.png,4792,"[15.98, 24.48]",一汽丰田,110,中型车,汽油,2023.05,4年或10万公里
比亚迪,海豹DM-i,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/74e489c57f1945faa0ac4ede26c433d1~tplv-resize:640:0.png,4777,"[14.98, 21.98]",比亚迪,111,中型车,插电式混合动力,2024.02,6年或15万公里
长安启源,长安启源Q05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d89973a091064602a82752ce8274ef5a~tplv-resize:640:0.png,4751,"[9.69, 11.29]",长安启源,112,紧凑型SUV,插电式混合动力,2024.04,3年或15万公里
零跑汽车,零跑C10,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c770aa8bf88c43d586141cc410d497aa~tplv-resize:640:0.png,4744,"[12.88, 16.88]",零跑汽车,113,中型SUV,增程式,2024.03,4年或12万公里
广汽传祺,传祺M6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7f73f6f447314098ac00754b8b25efd2~tplv-resize:640:0.png,4684,"[9.98, 14.98]",广汽乘用车,114,紧凑型MPV,汽油,2022.12,3年或10万公里
极氪,ZEEKR 007,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/10b260a927194414be47fa16742262fb~tplv-resize:640:0.png,4656,"[20.99, 29.99]",极氪,115,中型车,纯电动,2024.04,4年或10万公里
领克,领克06,https://p3-dcd.byteimg.com/img/motor-mis-img/189c2b11c6396ed5c63d9db5a57e6341~tplv-resize:640:0.png,4646,"[11.26, 12.26]",领克,116,小型SUV,汽油,2022.09,4年或10万公里
奔驰,奔驰A级,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f3aa2146a74d47e3ab4844b147234e37~tplv-resize:640:0.png,4516,"[16.15, 18.69]",北京奔驰,117,紧凑型车,汽油,2023.12,3年不限公里
吉利汽车,博越,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9ab4d56315ff4d8c98ee26346d40f71d~tplv-resize:640:0.png,4487,"[8.58, 11.08]",吉利汽车,118,紧凑型SUV,汽油,2024.01,4年或10万公里
深蓝汽车,深蓝SL03,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/89bf7774d79f44eab5d9acca6ba8712e~tplv-resize:640:0.png,4311,"[12.99, 68.99]",深蓝汽车,119,中型车,增程式,2024.02,3年或12万公里
奥迪,奥迪Q3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/cec6f6ed88e64f038b81185e048ebf8a~tplv-resize:640:0.png,4164,"[18.5, 22.39]",一汽-大众奥迪,120,紧凑型SUV,汽油,2023.08,3年或10万公里
雪佛兰,科鲁泽,https://p3-dcd.byteimg.com/img/motor-mis-img/f63e0947469ae2d9cee05bbdc33f514f~tplv-resize:640:0.png,4146,"[6.99, 8.39]",上汽通用雪佛兰,121,紧凑型车,汽油,2023.06,3年或10万公里
欧拉,欧拉好猫,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4d618ed49b0e4372b02670629a04f337~tplv-resize:640:0.png,4132,"[10.18, 13.78]",长城汽车,122,小型车,纯电动,2024.04,4年或15万公里
宝马,宝马i3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/9ec42e56919241d7810481cc6fa5a1d4~tplv-resize:640:0.png,4069,"[25.39, 29.9]",华晨宝马,123,中型车,纯电动,2023.11,3年或10万公里
吉利银河,银河L7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1454f92451164472a8fa0973ac768322~tplv-resize:640:0.png,4016,"[10.87, 16.57]",吉利银河,124,紧凑型SUV,插电式混合动力,2024.03,4年或10万公里
五菱汽车,五菱荣光,https://p3-dcd.byteimg.com/img/motor-mis-img/efe0d84f810fe914c7149c51a6c1658e~tplv-resize:640:0.png,3993,"[4.07, 4.73]",上汽通用五菱,125,微面,汽油,2023.04,3年或6万公里
小鹏汽车,小鹏X9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/dea281f2400b459897787fc584c29832~tplv-resize:640:0.png,3946,"[35.98, 41.98]",小鹏汽车,126,中大型MPV,纯电动,2024.01,5年或12万公里
宝马,宝马5系,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e85fab8db1b346578e344ab528cbeaa2~tplv-resize:640:0.png,3874,"[42.99, 51.59]",华晨宝马,127,中大型车,48V轻混系统,2024.01,3年或10万公里
大众,T-ROC探歌,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/854d92c324144a8baf7f4a1229768f5e~tplv-resize:640:0.png,3780,"[11.89, 17.99]",一汽-大众,128,紧凑型SUV,汽油,2024.01,3年或10万公里
丰田,格瑞维亚,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/dc353aa6c1ef46eda1ea28f39304c725~tplv-resize:640:0.png,3771,"[27.98, 39.68]",一汽丰田,129,中大型MPV,油电混合,2024.04,4年或10万公里
蔚来,蔚来ES6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/64a3a0a4ae604ebab934377a157a9851~tplv-resize:640:0.png,3729,"[33.8, 39.6]",蔚来,130,中型SUV,纯电动,2024.02,3年或12万公里
红旗,红旗HS3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/130d0777d22c4e7aba7791c0ee645462~tplv-resize:640:0.png,3721,"[12.58, 17.58]",一汽红旗,131,紧凑型SUV,汽油,2023.07,4年或10万公里
别克,昂科威,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e47a47ed27c24ca5ba2330559c6dd73a~tplv-resize:640:0.png,3692,"[16.39, 23.39]",上汽通用别克,132,中型SUV,48V轻混系统,2024.03,3年或10万公里
宝马,宝马iX3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/39eb11e1ba734c17b6a5b4c9762123ff~tplv-resize:640:0.png,3659,"[30.59, 33.59]",华晨宝马,133,中型SUV,纯电动,2024.01,3年或10万公里
长安欧尚,长安欧尚Z6,https://p3-dcd.byteimg.com/img/motor-mis-img/252d100a630cf9298e8d357fe7ee8ffc~tplv-resize:640:0.png,3636,"[8.29, 12.09]",长安汽车,134,紧凑型SUV,汽油,2023.06,3年或10万公里
吉利银河,银河L6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/0b3ee25dceca4fe5982a29702074a0a2~tplv-resize:640:0.png,3628,"[9.38, 13.18]",吉利银河,135,紧凑型车,插电式混合动力,2024.03,4年或10万公里
iCAR,iCAR 03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/82dbd5e3acb94713afb3cb4da2dfaa68~tplv-resize:640:0.png,3602,"[10.98, 16.98]",奇瑞新能源,136,紧凑型SUV,纯电动,2024.02,4年或12万公里
方程豹,豹5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5c4dd30eca44470a917d366c05db05b5~tplv-resize:640:0.png,3550,"[28.98, 35.28]",方程豹,137,中型SUV,插电式混合动力,2024.04,6年或15万公里
长安启源,长安启源A07,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8a84daad1c4b416aac405f4ec61a2e4c~tplv-resize:640:0.png,3479,"[13.59, 16.39]",长安启源,138,中大型车,纯电动,2024.03,3年或15万公里
奔腾,奔腾B70,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/39774d70f0c445a88fa3a332502c53e3~tplv-resize:640:0.png,3456,"[9.09, 13.29]",一汽奔腾,139,中型车,汽油,2024.04,3年或10万公里
捷达,捷达VA3,https://p9-dcd.byteimg.com/img/motor-mis-img/f79702d9c2dbaebafe617f329a66b999~tplv-resize:640:0.png,3452,"[6.58, 9.28]",一汽-大众捷达,140,紧凑型车,汽油,2023.12,3年或10万公里
捷途,捷途X90,https://p3-dcd.byteimg.com/img/motor-mis-img/db9398d99c107b4ee74543a8fa39cc8a~tplv-resize:640:0.png,3426,"[12.99, 16.29]",奇瑞汽车,141,中型SUV,汽油,2022.11,4年或10万公里
吉利汽车,豪越L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/35f4fe1d9d7240879696d2d7774573d5~tplv-resize:640:0.png,3381,"[11.29, 13.29]",吉利汽车,142,中型SUV,汽油,2023.11,4年或10万公里
大众,ID.4 CROZZ,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/36142136c6134cffb5a91e3273ace471~tplv-resize:640:0.png,3333,"[13.98, 23.74]",一汽-大众,143,紧凑型SUV,纯电动,2023.1,3年或10万公里
奔驰,奔驰GLB,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/05ab32d0a1b6462fa97ed1ecb0b2b183~tplv-resize:640:0.png,3310,"[23.19, 28.79]",北京奔驰,144,紧凑型SUV,汽油,2023.08,3年不限公里
日产,奇骏,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5ae572c93a99402d89bab23657b64d6e~tplv-resize:640:0.png,3283,"[14.93, 25.09]",东风日产,145,紧凑型SUV,汽油电驱,2023.05,3年或10万公里
理想汽车,理想MEGA,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d0437ce51fc94ffb8c4d700c169ce3f5~tplv-resize:640:0.png,3229,"[52.98, 52.98]",理想汽车,146,大型MPV,纯电动,2024.03,5年或10万公?
北京,北京BJ40,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3a8235032015497c9b815308b121c4ba~tplv-resize:640:0.png,3212,"[13.98, 24.99]",北京汽车,147,紧凑型SUV,汽油,2023.11,5年或15万公里
东风风行,菱智,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1b4c5e581271490ab064442a9188b466~tplv-resize:640:0.png,3206,"[5.99, 9.99]",东风风行,148,中型MPV,汽油,2023.09,5年或10万公里
智界,智界S7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/0e17f8fdf5994a98aab29bf74279e0bf~tplv-resize:640:0.png,3197,"[24.98, 34.98]",智界汽车,149,中大型车,纯电动,2023.11,4年或10万公里
奇瑞新能源,QQ冰淇淋,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b949ba428bc143aeb2bcfdef93eb7f61~tplv-resize:640:0.png,3186,"[2.99, 4.39]",奇瑞新能源,150,微型车,纯电动,2024.04,3年或10万公里
阿维塔,阿维塔 12,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/9f103ca925eb42b0af887cc4011f7193~tplv-resize:640:0.png,3106,"[26.58, 39.08]",阿维塔科技,151,中大型车,纯电动,2024.03,5年或12万公里
坦克,坦克400 Hi4-T,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b85773e84b6d41fb8d2f1f5bd4226c0b~tplv-resize:640:0.png,3060,"[27.98, 28.98]",长城汽车,152,中大型SUV,插电式混合动力,2024.03,5年或15万公里
东风风神,皓瀚,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7a07d88623a346058756af5631710351~tplv-resize:640:0.png,3014,"[9.49, 12.39]",东风乘用车,153,紧凑型SUV,汽油,2024.03,3年或10万公里
东风风神,奕炫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f2597be887af41fdb6174c3200a98d2c~tplv-resize:640:0.png,3011,"[6.49, 9.39]",东风乘用车,154,紧凑型车,汽油,2024.01,3年或10万公里
沃尔沃,沃尔沃S90,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/29edd1a1863d4861850a5e55c29532e8~tplv-resize:640:0.png,2990,"[30.69, 37]",沃尔沃亚太,155,中大型车,48V轻混系统,2023.06,3年不限公里
坦克,坦克500 Hi4-T,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d1d12a60d3544b438485a8e392d5b40f~tplv-resize:640:0.png,2948,"[33.5, 33.5]",长城汽车,156,中大型SUV,插电式混合动力,2023.06,5年或15万公里
奇瑞,瑞虎9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b902804d7fc84f5e9ca12ac0d2ff0e27~tplv-resize:640:0.png,2932,"[14.09, 19.79]",奇瑞汽车,157,中型SUV,汽油,2024.04,3年或10万公里
奇瑞,瑞虎7,https://p3-dcd.byteimg.com/img/motor-mis-img/91d1a9696ea68fc6427247e5dd2d5ef1~tplv-resize:640:0.png,2855,"[7.79, 14.99]",奇瑞汽车,158,紧凑型SUV,汽油,2023.07,3年或10万公里
吉利汽车,缤瑞,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/9ce764ca8f1a48a0890408952f1ad593~tplv-resize:640:0.png,2824,"[7.48, 9.48]",吉利汽车,159,紧凑型车,汽油,2023.08,4年或10万公里
零跑汽车,零跑T03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a1da801e023c4207ab9ba55d995637d0~tplv-resize:640:0.png,2784,"[4.49, 7.49]",零跑汽车,160,微型车,纯电动,2024.03,3年或12万公里
岚图,岚图梦想家 PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/31400576760b4db4819a38b1aeeb7c38~tplv-resize:640:0.png,2764,"[30.99, 38.99]",岚图汽车,161,中大型MPV,插电式混合动力,2023.1,6年或15万公里
捷途,捷途大圣,https://p3-dcd.byteimg.com/img/motor-mis-img/5ba123b24bd9a5f043a996a09501b6dd~tplv-resize:640:0.png,2748,"[9.19, 12.49]",奇瑞汽车,162,紧凑型SUV,汽油,2023.1,4年或10万公里
标致,标致408,https://p3-dcd.byteimg.com/img/motor-mis-img/e734863947662cd987a9be96b479f828~tplv-resize:640:0.png,2745,"[8.97, 12.17]",东风标致,163,紧凑型车,汽油,2024.03,5年或15万公里
马自达,马自达3 昂克赛拉,https://p3-dcd.byteimg.com/img/motor-mis-img/2ed9950bbf60e473727cf3735528e032~tplv-resize:640:0.png,2737,"[8.99, 18.99]",长安马自达,164,紧凑型车,汽油,2023.07,3年或10万公里
本田,英仕派,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/068adb9f4c04421fae8d8a372bc5cf0e~tplv-resize:640:0.png,2710,"[14.68, 21.99]",东风本田,165,中型车,汽油,2024.04,3年或10万公里
丰田,皇冠陆放,https://p3-dcd.byteimg.com/img/motor-mis-img/7a7143dba294bfc49ff39a154e4b9ad5~tplv-resize:640:0.png,2709,"[24.48, 31.98]",一汽丰田,166,中型SUV,油电混合,2023.03,3年或10万公里
名爵,MG5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d6a56e2049ac4b208d49d4f02f2916c3~tplv-resize:640:0.png,2651,"[5.59, 9.99]",上汽集团,167,紧凑型车,汽油,2023.05,3年或10万公里
智己汽车,智己LS6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/1d808aff9bfd4dfa9ab5f7296c7c4544~tplv-resize:640:0.png,2630,"[21.99, 28.19]",智己汽车,168,中大型SUV,纯电动,2023.1,5年或15万公里
马自达,马自达CX-5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/cd0afa2cba3f4fba8cfdac2c4417a60b~tplv-resize:640:0.png,2627,"[12.38, 21.08]",长安马自达,169,紧凑型SUV,汽油,2023.09,3年或10万公里
五菱汽车,五菱佳辰,https://p3-dcd.byteimg.com/img/motor-mis-img/1d111f4c68dbfde0d1fd3c455a3a2db7~tplv-resize:640:0.png,2587,"[6.28, 11.57]",上汽通用五菱,170,紧凑型MPV,油电混合,2023.06,3年或10万公里
现代,途胜,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f2f194412c334188ace3731595a91729~tplv-resize:640:0.png,2555,"[12.58, 19.18]",北京现代,171,紧凑型SUV,汽油,2022.11,可选:3年或15万公里/5年或10万公里/7年或7万公里
吉利银河,银河E8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ab1b4cc0df104ee59855465e9649824a~tplv-resize:640:0.png,2541,"[16.08, 22.38]",吉利银河,172,中大型车,纯电动,2024.04,6年或15万公里
奥迪,奥迪A7L,https://p3-dcd.byteimg.com/img/motor-mis-img/2d8a5201cffa633101a59b71d00fafef~tplv-resize:640:0.png,2527,"[37.87, 58.52]",上汽奥迪,173,中大型车,汽油,2024.03,3年或10万公里
魏牌,蓝山DHT-PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d81ba06d1efb4049a67bd2fd3b4e7f03~tplv-resize:640:0.png,2522,"[27.38, 30.88]",长城汽车,174,中大型SUV,插电式混合动力,2023.04,5年或15万公里
大众,大众CC,https://p9-dcd.byteimg.com/img/motor-mis-img/bc1a1cfcace04020b804932bd5c78749~tplv-resize:640:0.png,2500,"[19.99, 24.99]",一汽-大众,175,中型车,汽油,2024.03,3年或10万公里
荣威,荣威i5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/3deaa243484f4c34a254b5c212a8ad7a~tplv-resize:640:0.png,2494,"[5.39, 7.59]",上汽集团,176,紧凑型车,汽油,2023.07,4年或15万公里
大众,揽巡,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8c9d9e77cdf5462a86c515692b23c0e7~tplv-resize:640:0.png,2362,"[20.79, 25.89]",一汽-大众,181,中大型SUV,汽油,2023.11,3年或10万公里
本田,本田HR-V,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/24baeca15ca34c83a4e9ceaf09de58ea~tplv-resize:640:0.png,2362,"[13.04, 19.94]",东风本田,182,紧凑型SUV,汽油,2024.04,3年或10万公里
岚图,岚图FREE,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/debb222a0b6f4a888c798b60e527050e~tplv-resize:640:0.png,2345,"[24.69, 24.69]",岚图汽车,183,中大型SUV,增程式,2023.08,5年或10万公里
哈弗,哈弗M6,https://p3-dcd.byteimg.com/img/motor-mis-img/3318a942828459ec7ce8bd81f8e187d9~tplv-resize:640:0.png,2318,"[6.19, 8.29]",长城汽车,184,紧凑型SUV,汽油,2023.03,3年或10万公里
大众,探岳GTE,https://p9-dcd.byteimg.com/img/motor-mis-img/aac0f155b2015c4933cda7ea9afec655~tplv-resize:640:0.png,2268,"[19.39, 19.39]",一汽-大众,185,中型SUV,插电式混合动力,2023.09,3年或10万公里
福特,领睿,https://p3-dcd.byteimg.com/img/motor-mis-img/2e84d7b827ee1d79eea53e9aec7ff9de~tplv-resize:640:0.png,2266,"[10.68, 16.98]",江铃福特,186,中型SUV,汽油,2023.08,3年或10万公里
坦克,坦克700 Hi4-T,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/dba086fd7b2f4b1ebf8b104dc26331c3~tplv-resize:640:0.png,2235,"[42.8, 70]",长城汽车,187,中大型SUV,插电式混合动力,2024.02,5年或15万公里
奇瑞,探索06,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/93b15f0f1967433faca5cac4ef9289cd~tplv-resize:640:0.png,2233,"[10.19, 15.29]",奇瑞汽车,188,紧凑型SUV,汽油,2024.04,3年或10万公里
蔚来,蔚来ET5,https://p3-dcd.byteimg.com/img/motor-mis-img/6b3472130dfd56454f65df80d9f461f6~tplv-resize:640:0.png,2214,"[29.8, 35.6]",蔚来,189,中型车,纯电动,2024.02,3年或12万公里
蔚来,蔚来ET5T,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a03cf015743343d0aa5a45c8b02551c9~tplv-resize:640:0.png,2202,"[29.8, 35.6]",蔚来,190,中型车,纯电动,2024.02,3年或12万公里
长安欧尚,长安欧尚Z6 iDD新能源,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9d2a56308a184ed89115a0b35d840d2e~tplv-resize:640:0.png,2195,"[12.08, 14.08]",长安汽车,191,紧凑型SUV,插电式混合动力,2023.06,3年或12万公里
名爵,MG7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b0f952ca6faf46b1bb0fc809ab964a49~tplv-resize:640:0.png,2191,"[11.38, 16.38]",上汽集团,192,中型车,汽油,2023.03,3年或10万公里
蓝电,蓝电E5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a85640b7405f4d3889bc55d63edbd0c8~tplv-resize:640:0.png,2185,"[9.98, 15.19]",赛力斯蓝电汽车,193,中型SUV,插电式混合动力,2024.04,6年或15万公里
本田,奥德赛,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c5dcacaaacb3459cb9c4c522a0df3c82~tplv-resize:640:0.png,2174,"[19.78, 39.98]",广汽本田,194,中型MPV,油电混合,2023.06,3年或10万公里
日产,骐达TIIDA,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c2bc63fa5a1142b9aba74bf02210d1cc~tplv-resize:640:0.png,2172,"[8.49, 11.09]",东风日产,195,紧凑型车,汽油,2023.08,3年或10万公里
五菱汽车,五菱星驰,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8aeb5f1c39fe4c509540e272edfac572~tplv-resize:640:0.png,2121,"[4.98, 8.67]",上汽通用五菱,196,小型SUV,汽油,2023.04,3年或10万公里
SRM鑫源,金海狮,https://p3-dcd.byteimg.com/img/motor-mis-img/420edba187de7d68b797455324ccd5af~tplv-resize:640:0.png,2107,"[6.09, 10.59]",鑫源汽车,197,中型MPV,汽油,2023.09,2年或10万公里
奔腾,奔腾NAT,https://p9-dcd.byteimg.com/img/motor-mis-img/86e59b68321279091b353bb89ec0d411~tplv-resize:640:0.png,2104,"[10.78, 12.48]",一汽奔腾,198,紧凑型MPV,纯电动,2023.02,3年或30万公里
奇瑞,艾瑞泽5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/aef5212cbadd4c05a9c450eaed0813e1~tplv-resize:640:0.png,2093,"[4.69, 6.88]",奇瑞汽车,199,紧凑型车,汽油,2023.1,3年或10万公里
哈弗,哈弗猛龙,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a9dc9e5ea72d414cb832108cf2404eef~tplv-resize:640:0.png,2091,"[16.58, 19.28]",长城汽车,200,紧凑型SUV,插电式混合动力,2024.04,6年或15万公里
本田,缤智,https://p3-dcd.byteimg.com/img/motor-mis-img/8667f54bc5d28b9ee06bf37dc60cc85f~tplv-resize:640:0.png,2067,"[9.99, 11.99]",广汽本田,201,小型SUV,汽油,2022.11,3年或10万公里
雪铁龙,凡尔赛C5 X,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/fbb2febc93054b269bd8eeb04935102c~tplv-resize:640:0.png,2065,"[13.37, 17.67]",东风雪铁龙,202,中型车,汽油,2024.04,5年或15万公里
广汽传祺,传祺E8 PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6a36b18458d54bbcb9273c6aed5a7171~tplv-resize:640:0.png,2055,"[20.98, 23.58]",广汽乘用车,203,中型MPV,插电式混合动力,2023.11,3年或10万公里
福特,锐界,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/cad5d4e17ca14279b93666d6e3164c3d~tplv-resize:640:0.png,2033,"[22.1, 30.1]",长安福特,204,中型SUV,汽油,2024.04,3年或10万公里
林肯,航海家,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/db4c45d357eb479ca8ba4ed41f93fc5e~tplv-resize:640:0.png,2006,"[30.88, 44.88]",长安林肯,205,中型SUV,汽油,2023.04,5年或14万公里
丰田,威飒,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/97f0b1f0d49d4d95845a17fda2bf026e~tplv-resize:640:0.png,1997,"[17.68, 26.38]",广汽丰田,206,中型SUV,汽油,2023.03,3年或10万公里
本田,飞度,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b904c6bfc5094657bbcad15af499fd16~tplv-resize:640:0.png,1994,"[7.68, 9.88]",广汽本田,207,小型车,汽油,2024.03,3年或10万公里
大众,ID.4 X,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d16a58d2e5694b7b84ba28604a6421e0~tplv-resize:640:0.png,1933,"[14.98, 23.89]",上汽大众,208,紧凑型SUV,纯电动,2024.01,3年或10万公里
零跑汽车,零跑C01,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/29eebc897a7e48b7843ad9a59acb896b~tplv-resize:640:0.png,1904,"[12.58, 18.88]",零跑汽车,209,中大型车,纯电动,2024.03,4年或12万公里
大众,Polo,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a6ee19f8cb8b4ad8bab7f2b3cb0e4fa1~tplv-resize:640:0.png,1887,"[6.29, 9.69]",上汽大众,210,小型车,汽油,2023.05,3年或10万公里
长安,长安CS35 PLUS,https://p3-dcd.byteimg.com/img/motor-mis-img/810127c3c51f072dd2ea70a1a5aa09db~tplv-resize:640:0.png,1867,"[6.9, 8.19]",长安汽车,211,小型SUV,汽油,2023.09,3年或10万公里
奔驰,威霆,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e7346a1cf2bb49f38ca79f8dadc50b76~tplv-resize:640:0.png,1861,"[25.88, 35.48]",福建奔驰,212,中大型MPV,汽油,2023.05,3年或6万公里
本田,艾力绅,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d874253ddcab4fbeac2e52354f3d9e62~tplv-resize:640:0.png,1849,"[23.38, 28.58]",东风本田,213,中型MPV,油电混合,2023.07,3年或10万公里
比亚迪,比亚迪e2,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b8781cd4b8d749f997db471d7ee5b563~tplv-resize:640:0.png,1811,"[8.98, 14.78]",比亚迪,214,紧凑型车,纯电动,2024.03,6年或15万公里
