品牌,车名,图片链接,月销量,价格,生产商,排名,车型,能源类型,发售日期,保修年限
大众,探影,https://p3-dcd.byteimg.com/img/motor-mis-img/1f13ff8a44ab52143390f45ff0a7b8b5~tplv-resize:640:0.png,1773,"[8.59, 13.09]",一汽-大众,215,小型SUV,汽油,2023.09,3年或10万公里
ARCFOX极狐,极狐 阿尔法T5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/67e354e4850c48c4bd343e14d2fac9c5~tplv-resize:640:0.png,1765,"[13.08, 17.48]",北汽新能源,216,中型SUV,纯电动,2023.12,3年或12万公里
长安,逸达,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/eac9a5b665864f3b8c6b0b1d72e3f2bc~tplv-resize:640:0.png,1758,"[6.89, 9.49]",长安汽车,217,紧凑型车,汽油,2023.08,3年或10万公里
大众,揽境,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bf37b7018ff14ebd9f55a164daa4e2c4~tplv-resize:640:0.png,1638,"[21.29, 31.29]",一汽-大众,218,中大型SUV,汽油,2023.11,3年或10万公里
大众,途铠,https://p9-dcd.byteimg.com/img/motor-mis-img/c21b08981b849be7a38cfb49f038d530~tplv-resize:640:0.png,1632,"[9.39, 13.99]",上汽大众,219,小型SUV,汽油,2023.05,3年或10万公里
大运,悦虎,https://p3-dcd.byteimg.com/img/motor-mis-img/734908e2eb6373bc7e736fae703e25f6~tplv-resize:640:0.png,1630,"[5.88, 8.58]",大运汽车,220,小型SUV,纯电动,2023.06,3年或12万公里
凯迪拉克,凯迪拉克XT5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/34121f151dfa4523a4d827d0d3ea7a3e~tplv-resize:640:0.png,1618,"[24.27, 33.97]",上汽通用凯迪拉克,221,中型SUV,48V轻混系统,2023.09,3年不限公里
福特,探险者,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/31302546ff654c8cb31296e9b85fe510~tplv-resize:640:0.png,1610,"[30.98, 39.98]",长安福特,222,中大型SUV,汽油,2022.09,3年或10万公里
小鹏汽车,小鹏P7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/008ce8adb1ad4b24acfb8fade865172a~tplv-resize:640:0.png,1605,"[20.39, 28.99]",小鹏汽车,223,中型车,纯电动,2023.11,5年或12万公里
本田,本田XR-V,https://p9-dcd.byteimg.com/img/motor-mis-img/75fc061a24092b6aa7cca9a14f8e8a2e~tplv-resize:640:0.png,1604,"[10.19, 12.09]",东风本田,224,小型SUV,汽油,2023.08,3年或10万公里
星途,星途瑶光 C-DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0a2b0b9d093c4c37a5a43eab6c7ad182~tplv-resize:640:0.png,1592,"[15.98, 22.58]",星途,225,中型SUV,插电式混合动力,2024.03,3年或10万公里
哪吒汽车,哪吒AYA,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/181eb1cb372d46b292dc0c4da1a252a3~tplv-resize:640:0.png,1564,"[6.58, 8.08]",合众汽车,226,小型SUV,纯电动,2023.08,3年或12万公里
沃尔沃,沃尔沃S60,https://p3-dcd.byteimg.com/img/motor-mis-img/917e910a69010277adf7b04033758613~tplv-resize:640:0.png,1541,"[22.49, 29.61]",沃尔沃亚太,227,中型车,48V轻混系统,2023.07,3年不限公里
哪吒汽车,哪吒S,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f5b33847b129473f8fd1ea7239dc73f5~tplv-resize:640:0.png,1532,"[15.48, 22.48]",合众汽车,228,中大型车,增程式,2023.07,4年或12万公里
奔腾,奔腾T55,https://p3-dcd.byteimg.com/img/motor-mis-img/5eb9a1106aaeba38383586d41c10fd06~tplv-resize:640:0.png,1523,"[6.79, 9.49]",一汽奔腾,229,紧凑型SUV,汽油,2023.04,3年或10万公里
路虎,揽胜极光,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f6f3c888d1094dbeb62f6472ceb0ca3a~tplv-resize:640:0.png,1521,"[38.98, 47.58]",奇瑞捷豹路虎,230,中型SUV,48V轻混系统,2024.04,3年或10万公里
东风风神,东风风神E70,https://p3-dcd.byteimg.com/img/motor-mis-img/3645e5106165def002a7ab1f2300c71c~tplv-resize:640:0.png,1520,"[14.18, 15.38]",东风乘用车,231,紧凑型车,纯电动,2023.03,3年或30万公里
比亚迪,元UP,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/eca155ce5f884c349d4d541e5b9e7277~tplv-resize:640:0.png,1517,"[9.68, 11.98]",比亚迪,232,小型SUV,纯电动,2024.03,6年或15万公里
长安,逸动EV,https://p3-dcd.byteimg.com/img/motor-mis-img/436afddc96adbf1bea9ad5e693d13a35~tplv-resize:640:0.png,1502,"[14.99, 15.99]",长安汽车,233,紧凑型车,纯电动,2024.01,1年或12万公里
广汽传祺,传祺GS4,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3a5e2422597647f882593d68647ec164~tplv-resize:640:0.png,1497,"[10.98, 12.08]",广汽乘用车,234,紧凑型SUV,汽油,2024.04,3年或10万公里
广汽传祺,影豹,https://p3-dcd.byteimg.com/img/motor-mis-img/d0be756edf1c5cf4c9e6552497309e85~tplv-resize:640:0.png,1496,"[9.4, 14.4]",广汽乘用车,235,紧凑型车,汽油,2023.03,3年或10万公里
本田,冠道,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fc979e09cc8f450c9a1dceb57d57ec05~tplv-resize:640:0.png,1494,"[19.98, 28.98]",广汽本田,236,中型SUV,汽油,2023.08,3年或10万公里
五菱汽车,五菱星辰,https://p9-dcd.byteimg.com/img/motor-mis-img/ef2d3df828e04fead57e3c86279360bd~tplv-resize:640:0.png,1491,"[6.18, 10.97]",上汽通用五菱,237,紧凑型SUV,油电混合,2022.08,3年或10万公里
吉利几何,吉利几何E萤火虫,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ab171bed6a464941a57445172e7bf752~tplv-resize:640:0.png,1489,"[5.98, 8.18]",吉利几何,238,小型SUV,纯电动,2024.03,4年或10万公里
星途,星途凌云,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/9f4877863a6e4e7cbfb3567cdd713cda~tplv-resize:640:0.png,1488,"[12.99, 16.99]",星途,239,中型SUV,汽油,2024.04,3年或10万公里
蔚来,蔚来EC6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e3362ddc7fbb4a13a303fc940c09d0fe~tplv-resize:640:0.png,1485,"[35.8, 41.6]",蔚来,240,中型SUV,纯电动,2024.02,3年或12万公里
荣威,荣威i6 MAX EV,https://p3-dcd.byteimg.com/img/motor-mis-img/4a62b4c1ac07ae8e723dc417a5f06360~tplv-resize:640:0.png,1401,"[15.28, 18.18]",上汽集团,251,紧凑型车,纯电动,2022.04,3年或10万公里
小鹏汽车,小鹏G9,https://p3-dcd.byteimg.com/img/motor-mis-img/57c7fd76817fb6148dce372c42acc18c~tplv-resize:640:0.png,1393,"[24.39, 33.99]",小鹏汽车,252,中大型SUV,纯电动,2023.09,5年或12万公里
埃安,AION V,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/bf66d5250b1440f3959385915ce76dff~tplv-resize:640:0.png,1377,"[14.69, 19.69]",广汽埃安新能源,253,紧凑型SUV,纯电动,2023.06,4年或15万公里
五菱汽车,五菱缤果PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4fd05310cc9a472db6fcc2462023852b~tplv-resize:640:0.png,1375,"[8.98, 9.88]",上汽通用五菱,254,小型SUV,纯电动,2024.03,4年或15万公里
荣威,荣威D7 EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/279198c170654088bb304d89cfc3d72f~tplv-resize:640:0.png,1343,"[12.98, 15.68]",上汽集团,255,中型车,纯电动,2023.11,6年或15万公里
凯迪拉克,凯迪拉克GT4,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6db297a9abf54fcb86895a89462201a4~tplv-resize:640:0.png,1336,"[18.97, 27.47]",上汽通用凯迪拉克,256,紧凑型SUV,48V轻混系统,2023.05,3年不限公里
荣威,荣威D7 DMH,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fde7c9bf8c4d47d2911c150aa53fc207~tplv-resize:640:0.png,1322,"[10.58, 12.58]",上汽集团,257,中型车,插电式混合动力,2023.11,6年或15万公里
江淮瑞风,瑞风M3,https://p3-dcd.byteimg.com/img/motor-mis-img/84b7fe67cf859ba3a518ab0d3d3bf073~tplv-resize:640:0.png,1287,"[6.58, 12.79]",江汽集团,258,紧凑型MPV,油电混合,2023.12,3年或10万公里
福特,锐际,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e85d383a99d24b91b83a3b4e46f711fe~tplv-resize:640:0.png,1267,"[13.98, 19.18]",长安福特,259,紧凑型SUV,汽油,2023.08,3年或10万公里
阿维塔,阿维塔 11,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c080d03aba5e491496cc1dab532aded0~tplv-resize:640:0.png,1260,"[26, 38.58]",阿维塔科技,260,中大型SUV,纯电动,2024.04,5年或12万公里
红旗,红旗H9,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/3f7da5ac79454bc29ccd01565f19ec35~tplv-resize:640:0.png,1238,"[25.98, 81]",一汽红旗,261,中大型车,48V轻混系统,2024.04,4年或10万公里
大众,威然,https://p3-dcd.byteimg.com/img/motor-mis-img/5dc411ad7f5c2d9d8d69255c864cfded~tplv-resize:640:0.png,1236,"[22.98, 34.28]",上汽大众,262,中大型MPV,汽油,2023.08,3年或10万公里
奔驰,奔驰V级,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bb1047767b9e4323bf91566259a5cb03~tplv-resize:640:0.png,1223,"[41.38, 55.68]",福建奔驰,263,中大型MPV,汽油,2022.12,3年或6万公里
东风奕派,eπ007,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/800b755e8da547419991b18a5767796c~tplv-resize:640:0.png,1220,"[13.66, 16.96]",东风乘用车,264,中大型车,增程式,2024.02,3年或10万公里
奇瑞,风云A8,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/0b64ed1738ea4ac7ba2d7578b79d585c~tplv-resize:640:0.png,1191,"[9.99, 12.99]",奇瑞汽车,265,紧凑型车,插电式混合动力,2024.01,3年或10万公里
东风纳米,纳米01,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/41f1b82ed40042a88bf6c8de6cddbf9f~tplv-resize:640:0.png,1188,"[6.98, 10.18]",东风汽车,266,小型车,纯电动,2024.01,3年不限里程
北汽制造,锐胜王牌M7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/9ab40d5c662d43be9e3e28282ab17ad7~tplv-resize:640:0.png,1172,"[5.98, 15.58]",北京汽车制造厂,267,中大型MPV,汽油,2024.04,3年或6万公里
上汽大通MAXUS,大通G50,https://p3-dcd.byteimg.com/img/motor-mis-img/1f8cf3e8aa8da7a93d7fa90a0ed6e5d6~tplv-resize:640:0.png,1170,"[7.78, 14.08]",上汽大通,268,紧凑型MPV,汽油,2024.03,3年或6万公里
奇瑞,瑞虎3x,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/824cad6766644142b83d4b33b9a3e824~tplv-resize:640:0.png,1139,"[5.49, 8.49]",奇瑞汽车,269,小型SUV,汽油,2023.08,3年或10万公里
日产,劲客,https://p3-dcd.byteimg.com/img/motor-mis-img/504fb3220f62bbc899bbe7bdbdb15d0a~tplv-resize:640:0.png,1124,"[8.48, 9.88]",东风日产,270,小型SUV,汽油,2023.07,3年或10万公里
比亚迪,护卫舰07,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/25da945746f842dbac9e8ec9d481fb6e~tplv-resize:640:0.png,1120,"[17.98, 25.98]",比亚迪,271,中型SUV,插电式混合动力,2024.03,6年或15万公里
广汽传祺,传祺GS8,https://p3-dcd.byteimg.com/img/motor-mis-img/bef1e4e3b0a6fa8de3a3887dcaaad449~tplv-resize:640:0.png,1104,"[17.68, 25.98]",广汽乘用车,272,中型SUV,汽油,2023.06,5年或15万公里
仰望,仰望U8,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/6ab6732babb34e30b5e63c41a3eb5b08~tplv-resize:640:0.png,1090,"[109.8, 109.8]",仰望,273,大型SUV,增程式,2024.04,6年或15万公里
奇瑞,瑞虎5x,https://p9-dcd.byteimg.com/img/motor-mis-img/bf49fad02231fbc7c729f23640775a75~tplv-resize:640:0.png,1082,"[5.59, 10.19]",奇瑞汽车,274,小型SUV,汽油,2023.04,3年或10万公里
红旗,红旗H6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5f5b06d03ef847f7a958927ccd791263~tplv-resize:640:0.png,1078,"[17.28, 21.98]",一汽红旗,275,中型车,汽油,2023.04,4年或10万公里
凯迪拉克,凯迪拉克XT4,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0a4bbf84f21a4ef991576b8619a433a1~tplv-resize:640:0.png,1016,"[19.97, 23.77]",上汽通用凯迪拉克,281,紧凑型SUV,48V轻混系统,2023.05,3年不限公里
比亚迪,秦EV,https://p3-dcd.byteimg.com/img/motor-mis-img/1c7a3356986a77510a0b53855fb5a868~tplv-resize:640:0.png,1010,"[15.58, 16.98]",比亚迪,282,紧凑型车,纯电动,2021.05,6年或60万公里
东风风神,皓极,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/68b2913fe7a54330b67436f95718fb7e~tplv-resize:640:0.png,1005,"[10.99, 14.69]",东风乘用车,283,紧凑型SUV,汽油,2023.1,3年或10万公里
日产,探陆,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/1e9d215e79504327b7fcee191d8caaf4~tplv-resize:640:0.png,995,"[22.58, 28.78]",东风日产,284,中大型SUV,汽油,2024.03,3年或10万公里
丰田,凌放HARRIER,https://p9-dcd.byteimg.com/img/motor-mis-img/b797413d40370e0efc7a2dfa9b5e9cf7~tplv-resize:640:0.png,994,"[18.18, 26.88]",一汽丰田,285,中型SUV,汽油,2023.05,3年或10万公里
路虎,发现运动版,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/743f005e7c5a414ebadb3d4376022ed7~tplv-resize:640:0.png,966,"[38.98, 41.98]",奇瑞捷豹路虎,286,中型SUV,48V轻混系统,2023.07,3年或10万公里
比亚迪,元Pro,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/75aceda12312482a844f17861bbac469~tplv-resize:640:0.png,964,"[7.98, 9.78]",比亚迪,287,小型SUV,纯电动,2023.05,6年或15万公里
奔驰,奔驰GLA,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f36cf470eaf44e66856e6e3c3132898b~tplv-resize:640:0.png,950,"[20.28, 26.19]",北京奔驰,288,紧凑型SUV,汽油,2023.11,3年不限公里
广汽传祺,传祺E9 PHEV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/3da48c68376e4e158a93ba1e44310602~tplv-resize:640:0.png,947,"[31.98, 40.98]",广汽乘用车,289,中大型MPV,插电式混合动力,2024.04,3年或10万公里
林肯,林肯Z,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a0ec714df18440fa98cb7ce39a6d5213~tplv-resize:640:0.png,944,"[21.58, 34.58]",长安林肯,290,中型车,汽油,2024.03,5年或14万公里
红旗,红旗HS7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d88db156ed514c43a111d5f57a4e797d~tplv-resize:640:0.png,929,"[23.58, 31.58]",一汽红旗,291,中大型SUV,48V轻混系统,2023.08,4年或10万公里
奔驰,奔驰EQA,https://p3-dcd.byteimg.com/img/motor-mis-img/479c2d42a3fdaafed831cd8b668c751e~tplv-resize:640:0.png,912,"[20.7, 20.7]",北京奔驰,292,紧凑型SUV,纯电动,2023.09,3年不限公里
长安,锐程PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6de734d6685c494daee1c10272206263~tplv-resize:640:0.png,905,"[7.99, 10.29]",长安汽车,293,紧凑型车,汽油,2022.09,3年或10万公里
起亚,狮铂拓界,https://p9-dcd.byteimg.com/img/motor-mis-img/64635680904a46d6cc34230eaf9a9552~tplv-resize:640:0.png,879,"[12.68, 18.48]",起亚,294,紧凑型SUV,汽油,2022.11,5年或10万公里
别克,别克E5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/433e3405bbac450d83a939bd75ae6c16~tplv-resize:640:0.png,877,"[16.99, 24.99]",上汽通用别克,295,中大型SUV,纯电动,2024.02,3年或10万公里
哈弗,哈弗二代大狗PHEV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/d11ce6a2cca84e77aa13a17c6b3e461e~tplv-resize:640:0.png,876,"[15.08, 17.98]",长城汽车,296,中型SUV,插电式混合动力,2024.03,6年或15万公里
吉利汽车,星瑞L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/00919a7f53f64b5a8458267e3ced78f9~tplv-resize:640:0.png,861,"[11.97, 13.97]",吉利汽车,297,紧凑型车,油电混合,2023.12,5年或15万公里
起亚,起亚K3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/472cba0cc0a54bd6aca66872589b2e1d~tplv-resize:640:0.png,853,"[8.39, 12.49]",起亚,298,紧凑型车,汽油,2024.02,3年或10万公里
现代,库斯途,https://p3-dcd.byteimg.com/img/motor-mis-img/b8003b7e07498026bae4c0eef2ac8b4f~tplv-resize:640:0.png,851,"[14.98, 19.88]",北京现代,299,中大型MPV,汽油,2022.05,5年或10万公里
比亚迪,海豹,https://p3-dcd.byteimg.com/img/motor-mis-img/d7ab3d316e19b29973be27d746df2fa9~tplv-resize:640:0.png,841,"[17.98, 24.98]",比亚迪,300,中型车,纯电动,2024.03,6年或15万公里
启辰,启辰大V DD-i超混动,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9d1e245dc33446edb0cd4bd7bd7ae3c0~tplv-resize:640:0.png,840,"[9.99, 13.99]",东风日产,301,紧凑型SUV,插电式混合动力,2023.07,6年或15万公里
别克,世纪,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c5b214e5d3fa4fa89c233743b464e318~tplv-resize:640:0.png,838,"[46.99, 68.99]",上汽通用别克,302,中大型MPV,48V轻混系统,2023.08,3年或10万公里
捷途,捷途X70S EV,https://p3-dcd.byteimg.com/img/motor-mis-img/f4e6e2fbaa0cecf457663534e094c6f1~tplv-resize:640:0.png,835,"[15.48, 16.48]",奇瑞汽车,303,中型SUV,纯电动,2019.09,4年或10万公里
哪吒汽车,哪吒X,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/dfb6468c733e43e99230cfbfb4652d30~tplv-resize:640:0.png,824,"[9.98, 12.48]",合众汽车,304,紧凑型SUV,纯电动,2024.02,4年或12万公里
长安,长安UNI-T,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/09a8092ecee34808ae45128f9d2adb1e~tplv-resize:640:0.png,816,"[9.99, 12.99]",长安汽车,305,紧凑型SUV,汽油,2023.02,3年或10万公里
长安欧尚,奔奔E-Star,https://p9-dcd.byteimg.com/img/motor-mis-img/5a66c6bc0c1d71c7e6f68f53b902d1b9~tplv-resize:640:0.png,814,"[6.39, 6.39]",长安汽车,306,小型车,纯电动,2023.05,3年或12万公里
领克,领克01,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a05ad5af41a745429e2eeec2c03e609b~tplv-resize:640:0.png,808,"[14.28, 19.38]",领克,307,紧凑型SUV,汽油,2024.04,4年或10万公里
蔚来,蔚来ES8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/94095b474bee49fe9cf4700d9f323b90~tplv-resize:640:0.png,802,"[49.8, 59.8]",蔚来,308,中大型SUV,纯电动,2024.02,3年或12万公里
本田,本田UR-V,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f475084cc3e44000a686ed8f7a955963~tplv-resize:640:0.png,785,"[20.08, 28.38]",东风本田,309,中型SUV,汽油,2023.06,3年或10万公里
吉利几何,吉利几何G6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2aa2a7143c4c4d849d972ea8ee260ca2~tplv-resize:640:0.png,784,"[11.98, 18.28]",吉利几何,310,紧凑型车,纯电动,2023.09,4年或12万公里
丰田,丰田C-HR,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b0e1fef05cbb4a33be7c024e82deae95~tplv-resize:640:0.png,770,"[11.58, 15.58]",广汽丰田,311,小型SUV,汽油,2023.03,3年或10万公里
东风纳米,纳米BOX,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/49485a6aaae1402388ea2f897d97f5a7~tplv-resize:640:0.png,767,"[4.57, 7.37]",东风汽车,312,小型SUV,纯电动,2023.04,3年或6万公里
创维汽车,创维HT-i,https://p3-dcd.byteimg.com/img/motor-mis-img/7f6a5a194cb36018cb6e25a5f1a0b9e9~tplv-resize:640:0.png,757,"[12.58, 31.68]",创维汽车,313,中型SUV,插电式混合动力,2024.03,5年或15万公里
荣威,荣威iMAX8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6db94c2ed63e49d6a42eba931d90c2c0~tplv-resize:640:0.png,752,"[16.58, 23.58]",上汽集团,314,中大型MPV,汽油,2023.03,3年或10万公里
起亚,奕跑,https://p3-dcd.byteimg.com/img/motor-mis-img/3634d1e1b33e9b6c6c8163d55fcca20c~tplv-resize:640:0.png,745,"[5.48, 6.88]",起亚,315,小型SUV,汽油,2021.06,3年或10万公里
大众,迈腾GTE,https://p3-dcd.byteimg.com/img/motor-mis-img/aa0da3e462123203481abf9ce80822a1~tplv-resize:640:0.png,742,"[19.49, 20.99]",一汽-大众,316,中型车,插电式混合动力,2021.12,3年或10万公里
东风风行,风行T5 EVO,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3bf531df6ea944619da286295d32c5c6~tplv-resize:640:0.png,740,"[9.99, 13.99]",东风风行,317,紧凑型SUV,汽油,2023.05,8年或16万公里
宝骏,悦也,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/89571c98d16249bfa17a9e614ecedea0~tplv-resize:640:0.png,739,"[7.97, 9.08]",上汽通用五菱,318,小型SUV,纯电动,2024.04,3年或10万公里
启辰,启辰大V,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/70ada3c249cf4fd69983d811b1e04a39~tplv-resize:640:0.png,738,"[8.98, 11.88]",东风日产,319,紧凑型SUV,汽油,2023.09,3年或10万公里
启辰,启辰D60 EV,https://p3-dcd.byteimg.com/img/motor-mis-img/9defc15eb235673157d66da8cbba5273~tplv-resize:640:0.png,734,"[13.98, 14.78]",东风日产,320,紧凑型车,纯电动,2022.1,3年或12万公里
捷途,捷途山海L9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b9e5ca8991bf4b4e958169de5c91d192~tplv-resize:640:0.png,729,"[15.89, 18.09]",奇瑞汽车,321,中型SUV,插电式混合动力,2023.11,4年或10万公里
蔚来,蔚来ET7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a9ed1eca28bc42d1b8420f756f8a11c5~tplv-resize:640:0.png,713,"[42.8, 51.6]",蔚来,322,中大型车,纯电动,2024.04,3年或12万公里
星途,星途瑶光,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/fe5ba41003f242d994ad0722c4a9e34a~tplv-resize:640:0.png,693,"[13.78, 19.18]",星途,323,中型SUV,汽油,2023.02,3年或10万公里
比亚迪,唐EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0e4eb3c18a9b4970b9fb9102879d383a~tplv-resize:640:0.png,689,"[21.97, 26.97]",比亚迪,324,中型SUV,纯电动,2024.04,6年或15万公里
吉利汽车,吉利ICON,https://p3-dcd.byteimg.com/img/motor-mis-img/1c4d6a1078cf0ab10fec8126528059d4~tplv-resize:640:0.png,687,"[9.89, 11.89]",吉利汽车,325,小型SUV,汽油,2022.08,4年或10万公里
哈弗,哈弗H5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fe308dc65e0c4b218cd26a55fc3b8728~tplv-resize:640:0.png,676,"[12.28, 15.78]",长城汽车,326,大型SUV,汽油,2024.03,3年或10万公里
岚图,岚图追光 PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f403f07775ae4a8f8f23694d07236baa~tplv-resize:640:0.png,669,"[24.28, 26.78]",岚图汽车,327,中大型车,插电式混合动力,2023.12,5年或10万公里
东风风行,风行T5,https://p3-dcd.byteimg.com/img/motor-mis-img/f064dda2650019f6c0ba1e1f1a96135c~tplv-resize:640:0.png,668,"[6.99, 13.99]",东风风行,328,紧凑型SUV,汽油,2023.11,8年或16万公里
马自达,马自达CX-50行也,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/cd69fe0e126842e7ac2d6c942972143f~tplv-resize:640:0.png,667,"[14.98, 22.98]",长安马自达,329,紧凑型SUV,汽油,2024.03,3年或10万公里
奔驰,奔驰EQB,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0ce310756305451683f1d6b201f17352~tplv-resize:640:0.png,666,"[24.1, 30.8]",北京奔驰,330,紧凑型SUV,纯电动,2023.09,3年不限公里
领克,领克09 EM-P,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/43d42784c111453bb242b0f9109ddab8~tplv-resize:640:0.png,664,"[28.19, 33.69]",领克,331,中大型SUV,插电式混合动力,2024.01,5年或10万公里
