名称,大类,中类,经度,纬度,省份,地级市,区县
朱店村党建微生态公园,旅游景点,水族馆,121.5547,30.919657,上海市,上海市,奉贤区
沙贝微生态公园,旅游景点,公园,121.52759,30.944789,上海市,上海市,奉贤区
芦潮港公园,旅游景点,景点,121.862904,30.868916,上海市,上海市,浦东新区
大芦东路口袋生态公园,旅游景点,公园,121.852331,30.878872,上海市,上海市,浦东新区
海客生态公园,旅游景点,公园,121.909652,30.864499,上海市,上海市,浦东新区
二环城市生态公园,旅游景点,其他,121.92075,30.893915,上海市,上海市,浦东新区
临港艺术体育生态公园,科教文化,培训单位,121.910956,30.901022,上海市,上海市,浦东新区
二环城市生态公园,运动健身,其他,121.923607,30.909727,上海市,上海市,浦东新区
二环城市生态公园,购物消费,其他,121.922599,30.909375,上海市,上海市,浦东新区
二环城市生态公园,运动健身,其他,121.92306,30.910192,上海市,上海市,浦东新区
上海海昌海洋公园,旅游景点,水族馆,121.905728,30.912633,上海市,上海市,浦东新区
上海海昌海洋公园,旅游景点,水族馆,121.911819,30.914539,上海市,上海市,浦东新区
红星美凯龙·爱琴海购物公园,购物消费,百货商场,121.914878,30.918468,上海市,上海市,浦东新区
社区生态公园,旅游景点,公园,121.809907,30.963869,上海市,上海市,浦东新区
初心生态公园,旅游景点,公园,121.868225,30.98798,上海市,上海市,浦东新区
老港生态公园,旅游景点,公园,121.838564,31.035551,上海市,上海市,浦东新区
健康主题生态公园,旅游景点,公园,121.841807,31.037,上海市,上海市,浦东新区
元音生态公园,旅游景点,公园,121.509598,30.975878,上海市,上海市,奉贤区
樽文生态公园,休闲娱乐,农家乐,121.515213,31.012625,上海市,上海市,闵行区
美式篮球公园,运动健身,篮球,121.637478,31.02604,上海市,上海市,浦东新区
航东村口袋生态公园,旅游景点,公园,121.602274,31.033597,上海市,上海市,浦东新区
ABC美式篮球公园,运动健身,篮球,121.593862,31.042756,上海市,上海市,浦东新区
滨河生态公园,旅游景点,公园,121.592933,31.084267,上海市,上海市,浦东新区
航城生态公园,旅游景点,公园,121.596992,31.079532,上海市,上海市,浦东新区
上海浦江郊野公园,旅游景点,公园,121.49633,31.057782,上海市,上海市,闵行区
上海浦江郊野公园,旅游景点,公园,121.511755,31.055087,上海市,上海市,闵行区
花好月元生态公园,旅游景点,公园,121.496111,31.087778,上海市,上海市,闵行区
幸福生态公园,旅游景点,公园,121.772499,31.025663,上海市,上海市,浦东新区
莱恩体育篮球公园,运动健身,篮球,121.75293,31.034731,上海市,上海市,浦东新区
下盐路听达路口袋生态公园,旅游景点,动物园,121.75545,31.073283,上海市,上海市,浦东新区
海天湖生态公园,旅游景点,公园,121.763049,31.100889,上海市,上海市,浦东新区
类鹤蟑蝾湿地公园,旅游景点,其他,121.721961,31.053273,上海市,上海市,浦东新区
象园生态公园,运动健身,其他,121.706425,31.086247,上海市,上海市,浦东新区
比斯特上海购物村-翱星生态公园,旅游景点,公园,121.678071,31.140252,上海市,上海市,浦东新区
六团水景生态公园,旅游景点,公园,121.726758,31.156453,上海市,上海市,浦东新区
四季生态公园,旅游景点,公园,121.708599,31.153835,上海市,上海市,浦东新区
八灶格邦生态公园,旅游景点,公园,121.717758,31.155904,上海市,上海市,浦东新区
申佳真草足球生态公园,运动健身,其他,121.692888,31.158013,上海市,上海市,浦东新区
浦东川沙健康生态公园,旅游景点,公园,121.690346,31.168603,上海市,上海市,浦东新区
环东生态公园,休闲娱乐,其他,121.657013,31.175602,上海市,上海市,浦东新区
环东生态公园,旅游景点,公园,121.654826,31.183226,上海市,上海市,浦东新区
民利生态公园,休闲娱乐,农家乐,121.730584,31.175949,上海市,上海市,浦东新区
蔡路生态公园,旅游景点,公园,121.733254,31.213416,上海市,上海市,浦东新区
王港公园,旅游景点,公园,121.683425,31.235575,上海市,上海市,浦东新区
C31篮亭生态公园,运动健身,篮球,121.653912,31.232055000000003,上海市,上海市,浦东新区
洛克公园,运动健身,篮球,121.698651,31.202983,上海市,上海市,浦东新区
大星文化生态公园,旅游景点,公园,121.719358,31.221827,上海市,上海市,浦东新区
日新生态公园,旅游景点,公园,121.667577,31.261346,上海市,上海市,浦东新区
锦绣文化生态公园,旅游景点,公园,121.546183,31.190804,上海市,上海市,浦东新区
2049翡翠生态公园,购物消费,百货商场,121.609792,31.17892,上海市,上海市,浦东新区
万科翡翠生态公园,商务住宅,住宅区,121.610329,31.179706000000003,上海市,上海市,浦东新区
华夏公园,旅游景点,公园,121.648901,31.192699,上海市,上海市,浦东新区
卫行休闲生态公园,旅游景点,公园,121.582192,31.16509,上海市,上海市,浦东新区
洛克公园,休闲娱乐,其他,121.578051,31.182671,上海市,上海市,浦东新区
魔都不夜城足球生态公园,运动健身,其他,121.607199,31.230381,上海市,上海市,浦东新区
琦逸足球生态公园,运动健身,足球,121.570305,31.231754,上海市,上海市,浦东新区
POP-UP口袋生态公园,休闲娱乐,其他,121.640192,31.204803,上海市,上海市,浦东新区
唐镇生态公园,旅游景点,公园,121.645091,31.21303,上海市,上海市,浦东新区
唐镇银樽路体育休闲健康生态公园,旅游景点,公园,121.645525,31.21031,上海市,上海市,浦东新区
毕加索生态公园,旅游景点,公园,121.646127,31.21311,上海市,上海市,浦东新区
唐城绿地文化公园,旅游景点,公园,121.646741,31.220798,上海市,上海市,浦东新区
GreenFighters青少年篮球公园,运动健身,篮球,121.61082,31.243778,上海市,上海市,浦东新区
志同道合汽车公园,汽车相关,汽车养护,121.635558,31.264884,上海市,上海市,浦东新区
复兴岛公园,旅游景点,公园,121.562399,31.286414,上海市,上海市,杨浦区
复兴岛公园,交通设施,公交站,121.561614,31.286186,上海市,上海市,杨浦区
新江湾城公园,旅游景点,公园,121.513788,31.33382,上海市,上海市,杨浦区
smpskatepark滑板生态公园,旅游景点,水族馆,121.511353,31.336225,上海市,上海市,杨浦区
新江湾城SMP滑板生态公园,运动健身,其他,121.512885,31.335781,上海市,上海市,杨浦区
森兰体育生态公园,运动健身,其他,121.592079,31.307322,上海市,上海市,浦东新区
乐活生态公园,旅游景点,公园,121.588002,31.304412000000003,上海市,上海市,浦东新区
新高苑南侧休闲生态公园,旅游景点,公园,121.620351,31.28974,上海市,上海市,浦东新区
金光村生态公园,旅游景点,公园,121.636826,31.295743,上海市,上海市,浦东新区
高东生态公园,旅游景点,公园,121.639641,31.306984,上海市,上海市,浦东新区
逸仙公园,旅游景点,公园,121.51053,31.347666,上海市,上海市,宝山区
滨江森林湿地公园,旅游景点,景点,121.528377,31.383217,上海市,上海市,浦东新区
上海吴淞炮台湾国家湿地公园,旅游景点,景点,121.509073,31.396637,上海市,上海市,宝山区
健康科普生态公园,旅游景点,公园,121.701109,31.394737,上海市,上海市,崇明区
健康主题生态公园,旅游景点,公园,121.831002,31.523085,上海市,上海市,崇明区
町文生态公园,休闲娱乐,农家乐,121.830096,31.51591,上海市,上海市,崇明区
富民苑竖新镇市民生态公园,旅游景点,公园,121.598352,31.612264,上海市,上海市,崇明区
春风村民法典主题生态公园,旅游景点,公园,121.607257,31.6222,上海市,上海市,崇明区
东平市民生态公园,旅游景点,公园,121.539452,31.67666,上海市,上海市,崇明区
吴淞滨江生态公园,旅游景点,公园,121.136862,31.277065,上海市,上海市,青浦区
EF park动力方程赛车潮玩生态公园,运动健身,其他,121.163594,31.28056,上海市,上海市,嘉定区
上海汽车博览公园,旅游景点,公园,121.173727,31.278581,上海市,上海市,嘉定区
洛克公园,购物消费,其他,121.163865,31.304987,上海市,上海市,嘉定区
同济大学嘉定校区新奥同济生态公园,科教文化,高等教育,121.208655,31.28644,上海市,上海市,嘉定区
古树生态公园,旅游景点,公园,121.244973,31.31554,上海市,上海市,嘉定区
古银杏公园,交通设施,公交站,121.244761,31.313619,上海市,上海市,嘉定区
民体育公园足球公园,旅游景点,公园,121.239963,31.324562,上海市,上海市,嘉定区
嘉定新城滑板公园,旅游景点,公园,121.245137,31.332337000000003,上海市,上海市,嘉定区
紫气东来生态公园,旅游景点,公园,121.250643,31.344236,上海市,上海市,嘉定区
腊梅主题生态公园,旅游景点,公园,121.178866,31.333962,上海市,上海市,嘉定区
Funny蹦床生态公园,运动健身,其他,121.282795,31.302366,上海市,上海市,嘉定区
菁英湖风情生态公园,旅游景点,公园,121.312578,31.312729,上海市,上海市,嘉定区
留云生态公园,旅游景点,公园,121.308939,31.31406,上海市,上海市,嘉定区
华润·中央生态公园,商务住宅,住宅区,121.31289,31.31483,上海市,上海市,嘉定区
马陆法治主题生态公园,旅游景点,公园,121.322655,31.336992,上海市,上海市,嘉定区
北管村休闲生态公园,旅游景点,公园,121.322557,31.336871,上海市,上海市,嘉定区
石岗门塘休闲生态公园,旅游景点,公园,121.266592,31.344563,上海市,上海市,嘉定区
儿童拓展生态公园,旅游景点,公园,121.266638,31.344501,上海市,上海市,嘉定区
新城拓展生态公园,旅游景点,公园,121.26729,31.345283,上海市,上海市,嘉定区
仓场健身生态公园,旅游景点,公园,121.284079,31.360647,上海市,上海市,嘉定区
生态生态公园,旅游景点,公园,121.303774,31.378766,上海市,上海市,嘉定区
阿王葡萄主题生态公园,旅游景点,水族馆,121.288962,31.397146000000003,上海市,上海市,嘉定区
生态公园,休闲娱乐,农家乐,121.273599,31.414112,上海市,上海市,嘉定区
北郊生态公园-外冈法治文化生态公园,旅游景点,公园,121.175379,31.351966,上海市,上海市,嘉定区
嘉傲篮球公园,运动健身,篮球,121.251783,31.363356,上海市,上海市,嘉定区
北水湾体育生态公园,旅游景点,公园,121.242578,31.402544,上海市,上海市,嘉定区
体育生态公园,旅游景点,公园,121.34282,31.284644,上海市,上海市,普陀区
南大公园,旅游景点,公园,121.371008,31.306205,上海市,上海市,宝山区
甯宝体育生态公园,运动健身,综合体育馆,121.356435,31.301594,上海市,上海市,宝山区
顾村公园,交通设施,地铁,121.373014,31.344584,上海市,上海市,宝山区
南翔污水厂生态公园,旅游景点,公园,121.334352,31.330294,上海市,上海市,嘉定区
南翔水生态公园,旅游景点,公园,121.334678,31.329691,上海市,上海市,嘉定区
新顾城体育生态公园,旅游景点,公园,121.349986,31.343581,上海市,上海市,宝山区
Gree特体育公园,旅游景点,公园,121.468689,31.342524,上海市,上海市,宝山区
庙行生态公园,旅游景点,公园,121.429143,31.325411,上海市,上海市,宝山区
森谷美食生态公园,餐饮美食,中国菜,121.469593,31.364959,上海市,上海市,宝山区
酷野汽车生态公园,休闲娱乐,其他,121.459974,31.35995,上海市,上海市,宝山区
酷野汽车生态公园,科教文化,其他,121.460023,31.359905,上海市,上海市,宝山区
上海胜道酷野国际卡丁车生态公园,运动健身,其他,121.460033,31.359843,上海市,上海市,宝山区
老友聚篮球公园,运动健身,篮球,121.46495,31.397219,上海市,上海市,宝山区
上海长滩瀑布生态公园,旅游景点,公园,121.481604,31.412986,上海市,上海市,宝山区
上海长滩坡地生态公园,旅游景点,公园,121.478071,31.414508,上海市,上海市,宝山区
白沙公园,旅游景点,公园,121.437176,31.39586,上海市,上海市,宝山区
月浦泾品草莓生态公园,休闲娱乐,农家乐,121.396573,31.420241,上海市,上海市,宝山区
中集中央生态公园,商务住宅,住宅区,121.348597,31.397541,上海市,上海市,宝山区
羿翔青少年篮球公园,运动健身,篮球,121.355714,31.413075,上海市,上海市,宝山区
罗新生态公园,旅游景点,公园,121.346022,31.42483,上海市,上海市,宝山区
宝芝田生态公园,休闲娱乐,农家乐,121.363664,31.436976,上海市,上海市,宝山区
爱玛宫婚礼生态公园,生活服务,其他,121.359933,31.438384,上海市,上海市,宝山区
娄塘生态公园,旅游景点,公园,121.214381,31.425008,上海市,上海市,嘉定区
娄塘生态公园,旅游景点,广场,121.214381,31.42499,上海市,上海市,嘉定区
桃溪苑休闲绿地生态公园,旅游景点,公园,121.219937,31.434348,上海市,上海市,嘉定区
毛桥党建生态公园,旅游景点,公园,121.253888,31.474797,上海市,上海市,嘉定区
徐行镇法治主题生态公园,旅游景点,公园,121.303648,31.430409,上海市,上海市,嘉定区
瀛洲公园,旅游景点,公园,121.401666,31.616902,上海市,上海市,崇明区
金鳌山生态公园,旅游景点,公园,121.421941,31.615817,上海市,上海市,崇明区
新城公园,交通设施,公交站,121.426686,31.621568,上海市,上海市,崇明区
崇明新城生态公园,旅游景点,公园,121.423959,31.620917,上海市,上海市,崇明区
庙镇健康文化生态公园,旅游景点,公园,121.349557,31.717456,上海市,上海市,崇明区
飞虹生态公园,旅游景点,公园,121.316765,30.72533,上海市,上海市,金山区
滨海生态公园,旅游景点,公园,121.345996,30.707274,上海市,上海市,金山区
小生态公园,旅游景点,公园,121.335814,30.712397,上海市,上海市,金山区
东礁生态公园,旅游景点,公园,121.341584,30.723084,上海市,上海市,金山区
洛克生态公园,购物消费,其他,121.348027,30.731203,上海市,上海市,金山区
杨家村党建生态公园,旅游景点,水族馆,121.340848,30.736844,上海市,上海市,金山区
汇龙湖生态公园,旅游景点,公园,121.349109,30.749336,上海市,上海市,金山区
新城生态公园,旅游景点,公园,121.341385,30.757931,上海市,上海市,金山区
新城生态公园,旅游景点,景点,121.341397,30.757971,上海市,上海市,金山区
新城旭辉府儿童游乐园公园,运动健身,其他,121.352623,30.754952,上海市,上海市,金山区
共青生态公园,旅游景点,公园,121.472782,30.829787,上海市,上海市,奉贤区
古海塘文化生态公园,旅游景点,公园,121.479391,30.830603,上海市,上海市,奉贤区
红叶生态公园,旅游景点,公园,121.474391,30.900861,上海市,上海市,奉贤区
市民生态公园,旅游景点,公园,121.486602,30.913569000000003,上海市,上海市,奉贤区
正阳中央生态公园,旅游景点,公园,121.477697,30.91207,上海市,上海市,奉贤区
萧塘公园,旅游景点,公园,121.437394,30.96074,上海市,上海市,奉贤区
邬桥健身生态公园,旅游景点,公园,121.396589,30.962384,上海市,上海市,奉贤区
车镜生态公园,旅游景点,公园,121.235703,30.833505,上海市,上海市,金山区
朱吕公路车镜公园,交通设施,公交站,121.235439,30.832342,上海市,上海市,金山区
塔汇健康主题生态公园,旅游景点,公园,121.179963,30.967605,上海市,上海市,松江区
方塔公园,交通设施,公交站,121.247403,31.007064,上海市,上海市,松江区
中央生态公园,旅游景点,公园,121.226474,31.035444,上海市,上海市,松江区
新桥生态公园,旅游景点,公园,121.31325,31.059702,上海市,上海市,松江区
泗泾生态公园,旅游景点,公园,121.274911,31.114102000000003,上海市,上海市,松江区
百分佰体育生态公园,旅游景点,公园,121.230856,31.051783,上海市,上海市,松江区
陈坊生态公园,旅游景点,公园,121.184616,31.098305,上海市,上海市,松江区
西渡生态公园,旅游景点,公园,121.440187,30.988947,上海市,上海市,奉贤区
闵行公园,旅游景点,公园,121.424637,31.00853,上海市,上海市,闵行区
子傲体育生态公园,运动健身,篮球,121.421605,31.018126,上海市,上海市,闵行区
华泾生态公园,旅游景点,公园,121.452584,31.121756,上海市,上海市,徐汇区
集心生态公园,旅游景点,公园,121.413506,31.115017,上海市,上海市,闵行区
颛桥公园,旅游景点,公园,121.391568,31.061716,上海市,上海市,闵行区
鑫都路水文化生态公园,旅游景点,公园,121.398872,31.058206,上海市,上海市,闵行区
莘庄南广场生态公园,旅游景点,公园,121.38788,31.10493,上海市,上海市,闵行区
莘城中央公园,旅游景点,公园,121.386713,31.105113,上海市,上海市,闵行区
梅陇镇党建主题生态公园,旅游景点,公园,121.404034,31.116888,上海市,上海市,闵行区
运康体育生态公园,旅游景点,公园,121.40038,31.115811,上海市,上海市,闵行区
莘庄公园,旅游景点,公园,121.372669,31.102001,上海市,上海市,闵行区
西环路绿地口袋公园,旅游景点,公园,121.361456,31.118882000000003,上海市,上海市,闵行区
万佳鲜生态公园,休闲娱乐,农家乐,121.3749,31.12865,上海市,上海市,闵行区
绿地口袋公园,旅游景点,水族馆,121.387264,31.126637,上海市,上海市,闵行区
外环高速绿地口袋公园,旅游景点,公园,121.382876,31.1265,上海市,上海市,闵行区
平阳双拥生态公园,旅游景点,公园,121.387296,31.134422,上海市,上海市,闵行区
古美科普生态公园,旅游景点,公园,121.405525,31.141435,上海市,上海市,闵行区
古美体育生态公园,旅游景点,公园,121.406499,31.15171,上海市,上海市,闵行区
金虹桥公园,旅游景点,公园,121.381722,31.170995,上海市,上海市,闵行区
洛克公园,运动健身,综合体育馆,121.381291,31.176933,上海市,上海市,闵行区
滑板生态公园,旅游景点,公园,121.399226,31.188954,上海市,上海市,闵行区
古北中央公园,商务住宅,住宅区,121.407541,31.18326,上海市,上海市,闵行区
李秋平篮球公园,运动健身,篮球,121.428714,31.140028,上海市,上海市,徐汇区
华东理工大学鲁华生态公园,旅游景点,公园,121.427105,31.143849,上海市,上海市,徐汇区
徐汇跑道生态公园,旅游景点,景点,121.457696,31.168429,上海市,上海市,徐汇区
世博生态公园,旅游景点,公园,121.484912,31.18709,上海市,上海市,浦东新区
南园生态公园,旅游景点,公园,121.475167,31.191562,上海市,上海市,黄浦区
桂林公园,旅游景点,公园,121.417952,31.165275,上海市,上海市,徐汇区
桂林公园,交通设施,地铁,121.419685,31.166952,上海市,上海市,徐汇区
华山儿童生态公园,旅游景点,公园,121.434633,31.204113,上海市,上海市,长宁区
衡山公园,旅游景点,公园,121.442125,31.20058,上海市,上海市,徐汇区
中山公园,交通设施,公交站,121.418802,31.223744,上海市,上海市,长宁区
爱思儿童公园,休闲娱乐,游乐场,121.486523,31.257423,上海市,上海市,虹口区
鲁迅公园,旅游景点,公园,121.483577,31.271741,上海市,上海市,虹口区
鲁迅公园,交通设施,公交站,121.483405,31.268218,上海市,上海市,虹口区
闸北公园,旅游景点,公园,121.459959,31.270549,上海市,上海市,静安区
管弄生态公园,旅游景点,公园,121.427487,31.257666,上海市,上海市,普陀区
洛克公园,购物消费,其他,121.428699,31.257252,上海市,上海市,普陀区
临空滑板生态公园,旅游景点,公园,121.358286,31.229994,上海市,上海市,长宁区
匠弈体育篮球公园,运动健身,篮球,121.381304,31.210652,上海市,上海市,长宁区
枣阳公园,旅游景点,公园,121.403845,31.23496,上海市,上海市,普陀区
洛克中环篮球公园,运动健身,篮球,121.37711,31.224316,上海市,上海市,普陀区
洛克公园,购物消费,其他,121.377275,31.224883,上海市,上海市,普陀区
海棠生态公园,旅游景点,公园,121.390171,31.247484,上海市,上海市,普陀区
清涧生态公园,旅游景点,公园,121.381991,31.258538,上海市,上海市,普陀区
未来岛公园,旅游景点,公园,121.374911,31.265745,上海市,上海市,普陀区
双桥公园,旅游景点,公园,121.336588,31.250851,上海市,上海市,嘉定区
金沙公园,旅游景点,公园,121.357777,31.242754,上海市,上海市,嘉定区
赵巷公园,旅游景点,公园,121.197961,31.157631,上海市,上海市,青浦区
人然合一现代农业生态公园,餐饮美食,其他,121.215007,31.153549,上海市,上海市,青浦区
人然合一现代农业生态公园,旅游景点,其他,121.215027,31.153572,上海市,上海市,青浦区
九里亭生态公园,旅游景点,公园,121.315482,31.146042,上海市,上海市,松江区
健康主题生态公园,旅游景点,公园,121.278202,31.167943,上海市,上海市,青浦区
诸翟公园,旅游景点,公园,121.286907,31.20887,上海市,上海市,闵行区
洛克公园,购物消费,其他,121.315289,31.203036,上海市,上海市,闵行区
滨江爱特公园,旅游景点,公园,121.31493,31.230251000000003,上海市,上海市,嘉定区
陇南生态公园,旅游景点,公园,121.323276,31.272355,上海市,上海市,嘉定区
凤溪生态公园,旅游景点,公园,121.227075,31.205704,上海市,上海市,青浦区
华新生态公园,旅游景点,公园,121.228742,31.242721,上海市,上海市,青浦区
珀赛达卫浴-MAX体育生态公园,购物消费,家居建材,121.135051,31.160579,上海市,上海市,青浦区
达令港生态公园,旅游景点,公园,121.509263,30.985218,上海市,上海市,奉贤区
周浦公园,旅游景点,公园,121.59712,31.112624,上海市,上海市,浦东新区
篮板熊篮球公园,运动健身,篮球,121.519829,31.083955,上海市,上海市,闵行区
上海呈康体育篮球公园,运动健身,篮球,121.502069,31.073818,上海市,上海市,闵行区
江玮生态公园,旅游景点,公园,121.533308,31.059903,上海市,上海市,闵行区
多乐岛蹦床公园,生活服务,其他,121.560722,31.120459,上海市,上海市,浦东新区
陈行公园,旅游景点,公园,121.506147,31.090572,上海市,上海市,闵行区
浦康休闲生态公园,旅游景点,公园,121.503513,31.100588,上海市,上海市,闵行区
川沙公园,旅游景点,公园,121.700904,31.190941,上海市,上海市,浦东新区
海霞生态公园,旅游景点,公园,121.747641,31.172019,上海市,上海市,浦东新区
江镇市民广场生态公园,旅游景点,公园,121.746947,31.176788,上海市,上海市,浦东新区
唐镇健康主题生态公园,旅游景点,公园,121.677946,31.23944,上海市,上海市,浦东新区
金枫公园,旅游景点,公园,121.679561,31.239826,上海市,上海市,浦东新区
消防街角主题生态公园,旅游景点,公园,121.686958,31.2722,上海市,上海市,浦东新区
阳光生态公园,旅游景点,公园,121.656289,31.270586,上海市,上海市,浦东新区
环林西路春延路口袋生态公园,旅游景点,水族馆,121.524207,31.139882,上海市,上海市,浦东新区
中房洛克生态公园,旅游景点,公园,121.512906,31.143118,上海市,上海市,浦东新区
三林生态公园,旅游景点,公园,121.519363,31.146271,上海市,上海市,浦东新区
三林世博主题生态公园,旅游景点,公园,121.538375,31.161991,上海市,上海市,浦东新区
凡因体育篮球公园,运动健身,篮球,121.537964,31.16864,上海市,上海市,浦东新区
鹏海绿地生态公园,旅游景点,景点,121.568197,31.177168,上海市,上海市,浦东新区
锦尊体育生态公园,旅游景点,公园,121.531356,31.179852,上海市,上海市,浦东新区
三林足球生态公园,运动健身,其他,121.506357,31.166448,上海市,上海市,浦东新区
杨思办生态公园,商务住宅,产业园,121.501624,31.166151,上海市,上海市,浦东新区
大华·斐勒生态公园,商务住宅,住宅区,121.525809,31.178522,上海市,上海市,浦东新区
极境悬浮体育生态公园,旅游景点,公园,121.522999,31.191703,上海市,上海市,浦东新区
南码头社区体育生态公园,旅游景点,公园,121.517412,31.189494,上海市,上海市,浦东新区
新城西岸生态公园,商务住宅,住宅区,121.57639,31.124743,上海市,上海市,浦东新区
张江艺术生态公园,旅游景点,公园,121.584245,31.203125,上海市,上海市,浦东新区
张江碧波生态公园,旅游景点,公园,121.583327,31.206175,上海市,上海市,浦东新区
张江主题生态公园,旅游景点,景点,121.610006,31.204598,上海市,上海市,浦东新区
集创生态公园,商务住宅,其他,121.634322,31.206674,上海市,上海市,浦东新区
碧云体育生态公园,旅游景点,公园,121.583295,31.242848,上海市,上海市,浦东新区
活水生态公园,旅游景点,公园,121.494104,31.202356,上海市,上海市,黄浦区
香梅生态公园,旅游景点,公园,121.538208,31.210964,上海市,上海市,浦东新区
世纪公园,交通设施,地铁,121.550959,31.209407,上海市,上海市,浦东新区
世纪公园,旅游景点,景点,121.552551,31.21571,上海市,上海市,浦东新区
杨树浦电厂遗址生态公园,旅游景点,公园,121.556436,31.266841,上海市,上海市,杨浦区
杨树浦电厂遗迹生态公园,旅游景点,水族馆,121.55597,31.26619,上海市,上海市,杨浦区
波阳公园,旅游景点,公园,121.551609,31.272214,上海市,上海市,杨浦区
梅园生态公园,旅游景点,公园,121.526596,31.236397,上海市,上海市,浦东新区
霍山公园,旅游景点,公园,121.511068,31.253458,上海市,上海市,虹口区
江浦公园,交通设施,地铁,121.523669,31.264618,上海市,上海市,杨浦区
江浦公园,旅游景点,公园,121.524122,31.26597,上海市,上海市,杨浦区
和平公园,旅游景点,公园,121.503209,31.270651,上海市,上海市,虹口区
和平公园,交通设施,公交站,121.502553,31.268817,上海市,上海市,虹口区
大连路和平公园,交通设施,公交站,121.504885,31.271881,上海市,上海市,虹口区
新港路和平公园,交通设施,公交站,121.502599,31.268822,上海市,上海市,虹口区
新时代篮球公园,运动健身,篮球,121.551048,31.283712,上海市,上海市,杨浦区
黄兴公园,交通设施,地铁,121.533403,31.295383,上海市,上海市,杨浦区
共青森林公园,交通设施,地铁,121.546578,31.314555,上海市,上海市,杨浦区
森林公园,交通设施,公交站,121.545363,31.320341,上海市,上海市,杨浦区
浦兴文化生态公园,旅游景点,公园,121.590233,31.27873,上海市,上海市,浦东新区
东沟生态公园,旅游景点,公园,121.577649,31.297151,上海市,上海市,浦东新区
高东镇孝亲敬老主题生态公园,旅游景点,公园,121.615946,31.335055,上海市,上海市,浦东新区
浦南运河法治生态公园,旅游景点,公园,121.471137,30.92237,上海市,上海市,奉贤区
水榭亭健康生态公园,旅游景点,公园,121.321903,30.942836,上海市,上海市,松江区
其昌生态公园,旅游景点,公园,121.232406,31.024683,上海市,上海市,松江区
逐梦青少年篮球公园,运动健身,篮球,121.24605,31.022364,上海市,上海市,松江区
光星路口袋生态公园,旅游景点,公园,121.243779,31.028387,上海市,上海市,松江区
茭菱生态公园,旅游景点,公园,121.248371,31.03917,上海市,上海市,松江区
永丰城市生态公园,旅游景点,公园,121.190956,31.016596,上海市,上海市,松江区
泗泾公园,交通设施,公交站,121.274874,31.115321,上海市,上海市,松江区
林肯生态公园,购物消费,百货商场,121.253818,31.05606,上海市,上海市,松江区
银杏生态公园,旅游景点,公园,121.411191,31.010744,上海市,上海市,闵行区
西渡江边生态公园,旅游景点,公园,121.429135,30.995514,上海市,上海市,奉贤区
水帘洞广场生态公园,旅游景点,公园,121.430812,30.99382,上海市,上海市,奉贤区
西渡小生态公园,旅游景点,公园,121.429769,30.995551000000003,上海市,上海市,奉贤区
