iata,name,city,state,country,latitude,longitude
OYB,阿克苏机场,阿克苏,新疆维吾尔自治区,中国,41.188341,80.293842
ICP,阿勒泰机场,阿勒泰,新疆维吾尔自治区,中国,47.89013573,87.92621436
SAG,天柱山机场,安庆,安徽省,中国,30.53789782,117.0587388
DAD,二里半机场,包头,内蒙古自治区,中国,40.64711943,109.8462385
NFO,保山机场,保山,云南省,中国,25.1204892,99.17799561
NFE,福成机场,北海,广西壮族自治区,中国,21.47271824,109.1226279
LAK,首都机场,北京,北京市,中国,39.92998578,116.395645
BOC,南苑机场,北京,北京市,中国,39.92998578,116.395645
JIY,右江机场,百色,广西壮族自治区,中国,23.90151237,106.6318214
GUK,龙嘉机场,长春,吉林省,中国,43.89833761,125.3136424
ECD,黄花机场,长沙,湖南省,中国,28.21347823,112.9793528
MXC,王村机场,长治,山西省,中国,36.20166439,113.1202921
BSL,桃花源机场,常德,湖南省,中国,29.01214886,111.6537181
VBD,奔牛机场,常州,江苏省,中国,31.77139674,119.981861
OTY,双流机场,成都,四川省,中国,30.67994285,104.0679235
ESC,赤峰机场,赤峰,内蒙古自治区,中国,42.29711232,118.9307612
VVC,江北机场,重庆,重庆市,中国,29.54460611,106.530635
AJG,邦达机场,昌都,西藏自治区,中国,31.145369,97.18425
FOK,朝阳机场,朝阳,辽宁省,中国,41.589103,120.446573
QUJ,达州机场,达州,四川省,中国,31.21419886,107.4949734
MFJ,大理机场,大理,云南省,中国,25.69396662,100.219209
GLK,周水子机场,大连,辽宁省,中国,38.94870994,121.5934778
CSE,浪头机场,丹东,辽宁省,中国,40.12902283,124.3385431
FAA,东营机场,东营,山东省,中国,37.40866629,118.6126431
TUZ,敦煌机场,敦煌,甘肃省,中国,40.174113,94.792135
FHO,大同机场,大同,山西省,中国,40.12684,113.311035
FGU,大庆机场,大庆,黑龙江省,中国,46.59670902,125.0218397
HFA,鄂尔多斯机场,鄂尔多斯,内蒙古自治区,中国,39.81648956,109.9937063
VWJ,许家坪机场,恩施,湖北省,中国,30.30897851,109.5174327
SEN,长乐机场,福州,福建省,中国,26.0471255,119.3302211
CJZ,阜阳机场,阜阳,安徽省,中国,32.90121133,115.8209323
YNP,黄金机场,赣州,江西省,中国,25.84529554,114.9359091
YLK,格尔木机场,格尔木,青海省,中国,36.40762,94.909603
JBU,白云机场,广州,广东省,中国,23.1200491,113.3076497
LEU,龙洞堡机场,贵阳,贵州省,中国,26.62990674,106.7091771
GSC,两江机场,桂林,广西壮族自治区,中国,25.26290125,110.2609201
HON,太平机场,哈尔滨,黑龙江省,中国,45.77322463,126.6577169
VHR,美兰机场,海口,海南省,中国,20.02207128,110.3308018
KVW,哈密机场,哈密,新疆维吾尔自治区,中国,42.3444671,93.52937301
DOK,东山机场,海拉尔,内蒙古自治区,中国,49.27924546,120.0428821
VRJ,邯郸机场,邯郸,河北省,中国,36.60930793,114.4826939
OGW,城固机场,汉中,陕西省,中国,33.08156898,107.0454776
HBL,萧山机场,杭州,浙江省,中国,30.25924446,120.2193754
OER,新桥机场,合肥,安徽省,中国,31.86694226,117.2826991
EVA,和田机场,和田,新疆维吾尔自治区,中国,37.15334974,79.91581373
UAH,黑河机场,黑河,黑龙江省,中国,50.25069009,127.5008303
ZLO,白塔机场,呼和浩特,内蒙古自治区,中国,40.82831887,111.6603505
SSY,屯溪机场,黄山,安徽省,中国,29.72189,118.345437
HVO,遥墙机场,济南,山东省,中国,36.68278473,117.0249671
APP,济宁机场,济宁,山东省,中国,35.40212166,116.6007976
DUO,东郊机场,佳木斯,黑龙江省,中国,46.8137796,130.2847346
KGH,嘉峪关机场,嘉峪关,甘肃省,中国,39.80239733,98.28163459
WYI,锦州湾机场,锦州,辽宁省,中国,41.13087888,121.1477487
TUO,井冈山机场,井冈山,江西省,中国,26.63314954,114.1254392
ERQ,景德镇机场,景德镇,江西省,中国,29.30356277,117.1865226
PAP,兴凯湖机场,鸡西,黑龙江省,中国,45.32153989,130.9417673
KBT,喀什机场,喀什,新疆维吾尔自治区,中国,39.51311059,76.0143428
REU,库尔勒机场,库尔勒,新疆维吾尔自治区,中国,41.70549991,85.7094176
DAJ,长水机场,昆明,云南省,中国,25.0491531,102.7146011
EJC,克拉玛依机场,克拉玛依,新疆维吾尔自治区,中国,45.20391925,84.92698963
UOX,贡嘎机场,拉萨,西藏自治区,中国,29.66255706,91.1118909
MLR,中川机场,兰州,甘肃省,中国,36.06422553,103.8233054
GVS,三义机场,丽江,云南省,中国,26.87535109,100.2296284
AMD,白塔埠机场,连云港,江苏省,中国,34.60154897,119.1738722
KCG,临沧机场,临沧,云南省,中国,23.8878061,100.0926129
SBN,临沂机场,临沂,山东省,中国,35.07240907,118.3407682
VCD,白莲机场,柳州,广西壮族自治区,中国,24.32905335,109.4224018
KTM,蓝田机场,泸州,四川省,中国,28.8959298,105.4439703
RNQ,北郊机场,洛阳,河南省,中国,34.65736782,112.4475248
NEE,满洲里机场,满洲里,内蒙古自治区,中国,49.50003172,117.6036868
CME,芒市机场,芒市,云南省,中国,24.37681138,98.38210533
PZE,南郊机场,绵阳,四川省,中国,31.50470126,104.705519
QHT,海浪机场,牡丹江,黑龙江省,中国,44.58852115,129.6080354
FPK,梅县机场,梅县,广东省,中国,24.36478244,116.1710273
TGA,漠河机场,漠河,黑龙江省,中国,52.94565862,122.7157208
QOO,昌北机场,南昌,江西省,中国,28.689578,115.8935275
WEO,南充机场,南充,四川省,中国,30.80096517,106.105554
MWE,禄口机场,南京,江苏省,中国,32.0572355,118.7780744
DJG,吴圩机场,南宁,广西壮族自治区,中国,22.80649294,108.2972336
MPA,兴东机场,南通,江苏省,中国,32.01466454,120.873801
MLS,姜营机场,南阳,河南省,中国,33.01141957,112.5428419
QTI,栎社机场,宁波,浙江省,中国,29.88525897,121.579006
ELS,保安营机场,攀枝花,四川省,中国,26.58757126,101.7224232
LZO,三家子机场,齐齐哈尔,黑龙江省,中国,47.34769981,123.9872889
ZBU,流亭机场,青岛,山东省,中国,36.1052149,120.3844282
HAO,衢州机场,衢州,浙江省,中国,28.95691045,118.8758417
CRS,凤凰机场,三亚,海南省,中国,18.25777591,109.5227713
NLI,虹桥机场,上海,上海市,中国,31.24916171,121.4878995
UQK,浦东机场,上海,上海市,中国,31.24916171,121.4878995
YKI,宝安机场,深圳,广东省,中国,22.54605355,114.0259737
ABC,桃仙机场,沈阳,辽宁省,中国,41.80864478,123.4327909
TWU,正定机场,石家庄,河北省,中国,38.04895831,114.5220818
NKA,塔城机场,塔城,新疆维吾尔自治区,中国,46.81136714,83.19012766
KON,武宿机场,太原,山西省,中国,37.89027705,112.5508636
PEY,路桥机场,台州,浙江省,中国,28.66828329,121.4406129
TWT,滨海机场,天津,天津市,中国,39.1439299,117.2108131
AAF,通辽机场,通辽,内蒙古自治区,中国,43.63375607,122.2603633
LBN,铜仁凤凰机场,铜仁,贵州省,中国,27.67490269,109.168558
MAH,天水机场,天水,甘肃省,中国,34.58431942,105.7369316
DSV,五桥机场,万州,重庆市,中国,30.71005418,108.4134386
DKR,威海机场,威海,山东省,中国,37.52878708,122.0939584
MOS,潍坊机场,潍坊,山东省,中国,36.71611487,119.1426338
CRF,龙湾国际机场,温州,浙江省,中国,28.00283759,120.6906347
JWI,乌海机场,乌海,内蒙古自治区,中国,39.68317701,106.8319991
LQY,乌兰浩特机场,乌兰浩特,内蒙古自治区,中国,46.11694357,122.0815338
WII,地窝堡机场,乌鲁木齐,新疆维吾尔自治区,中国,43.84038035,87.56498774
XJD,苏南硕放机场,无锡,江苏省,中国,31.57003745,120.3054559
ZBE,天河机场,武汉,湖北省,中国,30.58108413,114.3162001
YDS,武夷山机场,武夷山,福建省,中国,27.74813517,118.0115426
RRF,梧州机场,梧州,广西壮族自治区,中国,23.48539464,111.305472
TGV,咸阳机场,西安,陕西省,中国,34.347507,108.951064
CLW,青山机场,西昌,四川省,中国,27.8633774,102.1178879
QRH,曹家堡机场,西宁,青海省,中国,36.64073861,101.767921
TWW,嘎洒机场,西双版纳,云南省,中国,22.009433,100.8030383
JVF,锡林浩特机场,锡林浩特,内蒙古自治区,中国,44.07896113,116.1369483
WVO,高崎机场,厦门,福建省,中国,24.48923061,118.103886
HST,香格里拉机场,香格里拉,云南省,中国,27.86668083,99.85507644
DFL,观音机场,徐州,江苏省,中国,34.27155343,117.1881066
JTL,兴义机场,兴义,贵州省,中国,25.00254377,104.8578372
PIX,蓬莱国际机场,烟台,山东省,中国,37.53656156,121.309555
XAX,二十里铺机场,延安,陕西省,中国,36.60332035,109.5005098
ZJT,朝阳川机场,延吉,吉林省,中国,43.0596666,129.4713015
ZIF,盐城机场,盐城,江苏省,中国,33.37986188,120.1488718
CSQ,伊宁机场,伊宁,新疆维吾尔自治区,中国,44.02035582,81.28904807
UON,菜坝机场,宜宾,四川省,中国,28.7696748,104.6330191
WGY,三峡机场,宜昌,湖北省,中国,30.73275782,111.3109811
APW,义乌机场,义乌,浙江省,中国,29.30644391,120.0672956
FRK,河东机场,银川,宁夏回族自治区,中国,38.50262101,106.2064786
CJS,永州机场,永州,湖南省,中国,26.43597165,111.6146477
CKQ,榆阳机场,榆林,陕西省,中国,38.27943924,109.7459257
YXL,关公机场,运城,山西省,中国,35.03885948,111.0068537
ARN,伊春机场,伊春,黑龙江省,中国,47.74195924,128.9005796
QDE,玉树巴塘机场,玉树,青海省,中国,32.90657463,96.71235012
TFH,湛江机场,湛江,广东省,中国,21.2574631,110.3650673
KDL,荷花机场,张家界,湖南省,中国,29.12488935,110.4816202
ROY,昭通机场,昭通,云南省,中国,27.34063296,103.7250207
BGO,新郑机场,郑州,河南省,中国,34.75661006,113.6496439
FID,普陀山机场,舟山,浙江省,中国,30.0360103,122.1698721
OFL,金湾机场,珠海,广东省,中国,22.25691465,113.562447
BYR,芷江机场,芷江,湖南省,中国,27.40251042,109.6111049
SWY,遵义机场,遵义,贵州省,中国,27.69996138,106.9312603
XJX,鞍山机场,鞍山,辽宁省,中国,41.11874368,123.0077633
NXZ,长白山机场,长白山,吉林省,中国,42.204106,127.508023
RSR,T3周水子机场,大连,辽宁省,中国,38.94870994,121.5934778
YDN,赛乌苏国际机场,二连浩特,内蒙古自治区,中国,43.41778046,111.9661784
GLF,广元机场,广元,四川省,中国,32.44104016,105.8196869
LUC,T2白云机场,广州,广东省,中国,23.1200491,113.3076497
INF,T3新桥机场,合肥,安徽省,中国,31.86694226,117.2826991
VPY,淮安机场,淮安,江苏省,中国,33.52834897,119.3132951
HYW,加格达奇机场,加格达奇,内蒙古自治区,中国,50.426229,124.13285
JUR,潮汕机场,揭阳,广东省,中国,23.54799947,116.3795009
BYJ,T2长水机场,昆明,云南省,中国,25.0491531,102.7146011
JQB,冠豸山机场,连城,福建省,中国,25.60417681,116.821448
LAE,吕梁机场,吕梁,山西省,中国,37.5273161,111.1431566
VIC,T2禄口机场,南京,江苏省,中国,32.0572355,118.7780744
GUW,普洱机场,普洱,云南省,中国,22.78877778,100.9800577
LAA,T2流亭机场,青岛,山东省,中国,36.1052149,120.3844282
YOJ,T3浦东机场,上海,上海市,中国,31.24916171,121.4878995
FLX,T2浦东机场,上海,上海市,中国,31.24916171,121.4878995
PUM,腾冲机场,腾冲,云南省,中国,25.27997812,98.49998832
HFE,通化机场,通化,吉林省,中国,41.73639713,125.9426501
ANG,交河机场,吐鲁番,新疆维吾尔自治区,中国,42.67892482,89.26602549
KVG,T2地窝堡机场,乌鲁木齐,新疆维吾尔自治区,中国,43.84038035,87.56498774
SNW,T3高崎机场,厦门,福建省,中国,24.48923061,118.103886
TAW,刘集机场,襄阳(中国),湖北省,中国,32.22916859,112.2500928
ZUX,扬州泰州机场,扬州,江苏省,中国,32.40850525,119.4277776
TOG,T2蓬莱国际机场,烟台,山东省,中国,37.53656156,121.309555
DNE,明月山机场,宜春,江西省,中国,27.8111299,114.4000387
ZFF,中卫机场,中卫,宁夏回族自治区,中国,37.52112419,105.1967542
SCX,三女河机场,唐山,河北省,中国,39.65053092,118.1834506
CGK,毕节飞雄机场,毕节,贵州省,中国,27.40856213,105.3333234
WJM,惠州机场,惠州,广东省,中国,23.11353985,114.4106581
AAH,荔波机场,荔波,贵州省,中国,25.40131799,107.9302134
HPC,黎平机场,黎平,贵州省,中国,26.15751352,109.0745905
JCC,九华山机场,池州,安徽省,中国,30.66001925,117.4944768
LAP,稻城亚丁机场,稻城,四川省,中国,29.046005,100.303176
GFB,金昌金川机场,金昌,甘肃省,中国,38.5160718,102.2081263
UGR,康定机场,康定,四川省,中国,29.96339001,101.7531276
OBL,T1长水机场,昆明,云南省,中国,25.0491531,102.7146011
WIT,T1贡嘎机场,拉萨,西藏自治区,中国,29.66255706,91.1118909
YHO,林芝机场,林芝,西藏自治区,中国,29.63454,94.378097
UIZ,T1禄口机场,南京,江苏省,中国,32.0572355,118.7780744
XRN,舟白机场,黔江,重庆市,中国,29.44098103,108.714808
WQF,日喀则机场,日喀则,西藏自治区,中国,29.26816003,88.95606277
KIU,T1桃仙机场,沈阳,辽宁省,中国,41.80864478,123.4327909
HXW,夏河机场,夏河,甘肃省,中国,35.02303086,102.5065784
XTJ,T1河东机场,银川,宁夏回族自治区,中国,38.50262101,106.2064786
XBE,宁远机场,张家口,河北省,中国,40.81118849,114.8937815
HLB,张掖机场,张掖,甘肃省,中国,38.9393203,100.4598919
YLC,T1首都机场,北京,北京市,中国,39.92998578,116.395645
PLS,衡阳机场,衡阳,湖南省,中国,26.89816442,112.5838188
RQP,T1浦东机场,上海,上海市,中国,31.24916171,121.4878995
OTB,佛山机场,佛山,广东省,中国,23.03509484,113.1340256
YVE,凯里机场,凯里,贵州省,中国,26.63174233,107.9482386
TRH,黄果树机场,安顺,贵州省,中国,26.22859458,105.92827
BBD,伊尔施机场,阿尔山,内蒙古自治区,中国,47.16369634,120.3575339
TVU,巴彦浩特机场,阿拉善左旗,内蒙古自治区,中国,38.843593,105.676624
EZC,巴彦淖尔机场,巴彦淖尔,内蒙古自治区,中国,40.7691799,107.4238067
IUC,阿里机场,阿里,西藏自治区,中国,30.40455659,81.10766869
MRN,庆阳机场,庆阳,甘肃省,中国,35.72680075,107.6442271
DGC,T2首都机场,北京,北京市,中国,39.92998578,116.395645
PBU,T1长乐机场,福州,福建省,中国,26.0471255,119.3302211
JLJ,六盘山机场,固原,宁夏回族自治区,中国,36.02152348,106.285268
COF,T2中川机场,兰州,甘肃省,中国,36.06422553,103.8233054
ZMU,T1龙湾国际机场,温州,浙江省,中国,28.00283759,120.6906347
AEF,T1天河机场,武汉,湖北省,中国,30.58108413,114.3162001
AQV,T1咸阳机场,西安,陕西省,中国,34.347507,108.951064
IJX,T3首都机场,北京,北京市,中国,39.92998578,116.395645
OEH,富蕴机场,富蕴,新疆维吾尔自治区,中国,46.53615651,89.39348361
SSU,库车机场,库车,新疆维吾尔自治区,中国,41.78193289,83.45980678
ZKD,T3中川机场,兰州,甘肃省,中国,36.06422553,103.8233054
TMZ,那拉提机场,那拉提,新疆维吾尔自治区,中国,43.33469,84.0103
RDF,T3流亭机场,青岛,山东省,中国,36.1052149,120.3844282
NMW,桃来机场,额济纳旗,内蒙古自治区,中国,41.960082,101.06643
